-0X1P-1022,-0X0P+0,-0X1P-1022,0.00100000000000000002081668171172
0X1P-1022,0X0P+0,0X1P-1022,0.00000000000000000000000000000000
0X1.FFFFFFFFFFFFFP-1,0X0P+0,0X1.FFFFFFFFFFFFFP-1,0.00000000000000000000000000000000
0X1.0000000000001P+0,0X1P+0,0X1P-52,0.00500000000000000010408340855861
-0X1P-1,-0X0P+0,-0X1P-1,0.00000000000000000000000000000000
0X1P-1,0X0P+0,0X1P-1,0.00000000000000000000000000000000
-0X1P+0,-0X1P+0,-0X0P+0,0.00100000000000000002081668171172
0X1P+0,0X1P+0,0X0P+0,0.00000000000000000000000000000000
-0X1.FFFFFFFFFFFFFP+1023,-0X1.FFFFFFFFFFFFFP+1023,-0X0P+0,0.00000000000000000000000000000000
0X1.FFFFFFFFFFFFFP+1023,0X1.FFFFFFFFFFFFFP+1023,0X0P+0,0.00000000000000000000000000000000
-INF,-INF,-0X0P+0,0.00000000000000000000000000000000
INF,INF,0X0P+0,0.00100000000000000002081668171172
-NAN,-NAN,-NAN,0.00000000000000000000000000000000
