-INF,,-INF,0.00100000000000000002081668171172
INF,,INF,0.00000000000000000000000000000000
-INF,,INF,0.00100000000000000002081668171172
INF,,INF,0.00000000000000000000000000000000
-NAN,,-NAN,0.00000000000000000000000000000000
0X1.8P+3,,0X1.8P+3,0.00000000000000000000000000000000
-NAN,,0X1.8P+3,0.00000000000000000000000000000000
0X1P-1022,,0X1P-1022,0.00100000000000000002081668171172
0X0P+0,,0X0P+0,0.00000000000000000000000000000000
0X1.FFFFFFFFFFFFEP+1023,,0X1.FFFFFFFFFFFFFP+1023,0.00000000000000000000000000000000
0X1.0000000000001P-1022,,0X1.0000000000001P-1022,0.00000000000000000000000000000000
