0X0P+0,-INF,0X1P+0
0X1.47AE147AE147BP-7,-0X1.26BB1BBB55515P+2,0X0P+0
0X1.47AE147AE147BP-6,-0X1.F4BD2B7AC1BAFP+1,0X0P+0
0X1.EB851EB851EB8P-6,-0X1.C0D6E3A1428A6P+1,0X0P+0
0X1.47AE147AE147BP-5,-0X1.9C041F7ED8D33P+1,0X1P+0
0X1.999999999999AP-5,-0X1.7F7427B73E391P+1,0X1P+0
0X1.EB851EB851EB8P-5,-0X1.681DD7A559A2AP+1,0X0P+0
0X1.1EB851EB851ECP-4,-0X1.5462A20517CFFP+1,0X0P+0
0X1.47AE147AE147BP-4,-0X1.434B1382EFEB8P+1,0X0P+0
0X1.70A3D70A3D70AP-4,-0X1.34378FCBDA721P+1,0X0P+0
0X1.999999999999AP-4,-0X1.26BB1BBB55515P+1,0X0P+0
0X1.C28F5C28F5C29P-4,-0X1.1A87FBFEB72DFP+1,0X1P+0
0X1.EB851EB851EB8P-4,-0X1.0F64CBA970BAEP+1,0X0P+0
0X1.0A3D70A3D70A4P-3,-0X1.0525F4C391DDAP+1,0X0P+0
0X1.1EB851EB851ECP-3,-0X1.F7532C125DD07P+0,0X0P+0
0X1.3333333333333P-3,-0X1.E5A9A7C3AC418P+0,0X0P+0
0X1.47AE147AE147BP-3,-0X1.D5240F0E0E078P+0,0X0P+0
0X1.5C28F5C28F5C3P-3,-0X1.C59EF6AE05562P+0,0X1P+0
0X1.70A3D70A3D70AP-3,-0X1.B6FD079FE3149P+0,0X1P+0
0X1.851EB851EB852P-3,-0X1.A925AE2CBEDFDP+0,0X0P+0
0X1.999999999999AP-3,-0X1.9C041F7ED8D33P+0,0X0P+0
0X1.AE147AE147AE1P-3,-0X1.8F869C5F5F6F4P+0,0X0P+0
0X1.C28F5C28F5C29P-3,-0X1.839DE0059C8C7P+0,0X0P+0
0X1.D70A3D70A3D71P-3,-0X1.783CAF331EC76P+0,0X1P+0
0X1.EB851EB851EB8P-3,-0X1.6D577F5B0FA65P+0,0X0P+0
0X1P-2,-0X1.62E42FEFA39EFP+0,0X0P+0
0X1.0A3D70A3D70A4P-2,-0X1.58D9D18F51EBCP+0,0X0P+0
