-0X1.9P+6,0X1.A8C1F14E2AF5DP-145,0X0P+0
-0X1.88P+6,0X1.8851D84118908P-142,0X0P+0
-0X1.8P+6,0X1.6A5BEA046B42EP-139,0X1P+0
-0X1.78P+6,0X1.4EAFB87EAB0F2P-136,0X1P+0
-0X1.7P+6,0X1.35208867C2683P-133,0X0P+0
-0X1.68P+6,0X1.1D8508FA8246AP-130,0X0P+0
-0X1.6P+6,0X1.07B7112BC1FFEP-127,0X1P+0
-0X1.58P+6,0X1.E726C3F64D0FEP-125,0X0P+0
-0X1.5P+6,0X1.C1F2DAF3B6A46P-122,0X0P+0
-0X1.48P+6,0X1.9F96445648B9FP-119,0X0P+0
-0X1.4P+6,0X1.7FD974D372E45P-116,0X0P+0
-0X1.38P+6,0X1.62891F06B345P-113,0X0P+0
-0X1.3P+6,0X1.4775E0840BFDDP-110,0X0P+0
-0X1.28P+6,0X1.2E73F53FBA844P-107,0X0P+0
-0X1.2P+6,0X1.175AF0CF60EC5P-104,0X0P+0
-0X1.18P+6,0X1.02057D1245CEBP-101,0X0P+0
-0X1.1P+6,0X1.DCA23BAE16424P-99,0X0P+0
-0X1.08P+6,0X1.B83BF23A9A9EBP-96,0X1P+0
-0X1P+6,0X1.969D47321E4CCP-93,0X1P+0
-0X1.FP+5,0X1.778FE2497184CP-90,0X0P+0
-0X1.EP+5,0X1.5AE191A99585AP-87,0X0P+0
-0X1.DP+5,0X1.4063F8CC8BB98P-84,0X0P+0
-0X1.CP+5,0X1.27EC458C65E3CP-81,0X0P+0
-0X1.BP+5,0X1.1152EAEB73C08P-78,0X0P+0
-0X1.AP+5,0X1.F8E6C24B5592EP-76,0X0P+0
-0X1.9P+5,0X1.D257D547E083FP-73,0X0P+0
-0X1.8P+5,0X1.AEBABAE3A41B5P-70,0X0P+0
-0X1.7P+5,0X1.8DD5E1BB09D7EP-67,0X0P+0
-0X1.6P+5,0X1.6F741DE1748ECP-64,0X0P+0
-0X1.5P+5,0X1.536452EE2F75CP-61,0X0P+0
-0X1.4P+5,0X1.39792499B1A24P-58,0X0P+0
-0X1.3P+5,0X1.2188AD6AE3303P-55,0X0P+0
-0X1.2P+5,0X1.0B6C3AFDDE064P-52,0X0P+0
-0X1.1P+5,0X1.EE001EED62AAP-50,0X0P+0
-0X1P+5,0X1.C8464F7616468P-47,0X0P+0
-0X1.EP+4,0X1.A56E0C2AC7F75P-44,0X0P+0
-0X1.CP+4,0X1.853F01D6D53BAP-41,0X0P+0
-0X1.AP+4,0X1.67852A7007E42P-38,0X0P+0
-0X1.8P+4,0X1.4C1078FE9228AP-35,0X0P+0
-0X1.6P+4,0X1.32B48BF117DA2P-32,0X0P+0
-0X1.4P+4,0X1.1B48655F37267P-29,0X0P+0
-0X1.2P+4,0X1.05A628C699FA1P-26,0X0P+0
-0X1P+4,0X1.E355BBAEE85CBP-24,0X0P+0
-0X1.CP+3,0X1.BE6C6FDB01612P-21,0X0P+0
-0X1.8P+3,0X1.9C54C3B43BC8BP-18,0X0P+0
-0X1.4P+3,0X1.7CD79B5647C9BP-15,0X0P+0
-0X1P+3,0X1.5FC21041027ADP-12,0X0P+0
-0X1.8P+2,0X1.44E51F113D4D6P-9,0X0P+0
-0X1P+2,0X1.2C155B8213CF4P-6,0X0P+0
-0X1P+1,0X1.152AAA3BF81CCP-3,0X0P+0
0X0P+0,0X1P+0,0X0P+0
0X1P+1,0X1.D8E64B8D4DDAEP+2,0X0P+0
0X1P+2,0X1.B4C902E273A58P+5,0X0P+0
0X1.8P+2,0X1.936DC5690C08FP+8,0X0P+0
0X1P+3,0X1.749EA7D470C6EP+11,0X1P+0
0X1.4P+3,0X1.5829DCF95056P+14,0X1P+0
0X1.8P+3,0X1.3DE1654D37C9AP+17,0X0P+0
0X1.CP+3,0X1.259AC48BF05D7P+20,0X0P+0
0X1P+4,0X1.0F2EBD0A8002P+23,0X0P+0
0X1.2P+4,0X1.F4F22091940BDP+25,0X1P+0
0X1.4P+4,0X1.CEB088B68E804P+28,0X0P+0
0X1.6P+4,0X1.AB5ADB9C436P+31,0X0P+0
0X1.8P+4,0X1.8AB7FB5475FB7P+34,0X0P+0
0X1.AP+4,0X1.6C932696A6B5DP+37,0X0P+0
0X1.CP+4,0X1.50BBA3796379AP+40,0X0P+0
0X1.EP+4,0X1.370470AEC28EDP+43,0X0P+0
0X1P+5,0X1.1F43FCC4B662CP+46,0X0P+0
0X1.1P+5,0X1.0953E2F3A1EF7P+49,0X0P+0
0X1.2P+5,0X1.EA215A1D20D76P+51,0X0P+0
0X1.3P+5,0X1.C4B334617CC67P+54,0X0P+0
0X1.4P+5,0X1.A220D397972EBP+57,0X0P+0
0X1.5P+5,0X1.8232558201159P+60,0X0P+0
0X1.6P+5,0X1.64B41C6D37832P+63,0X0P+0
0X1.7P+5,0X1.49767BC0483E3P+66,0X0P+0
0X1.8P+5,0X1.304D6AECA254BP+69,0X0P+0
0X1.9P+5,0X1.19103E4080B45P+72,0X0P+0
0X1.AP+5,0X1.03996528E074CP+75,0X0P+0
0X1.BP+5,0X1.DF8C5AF17BA3BP+77,0X0P+0
0X1.CP+5,0X1.BAED16A6E0DA7P+80,0X0P+0
0X1.DP+5,0X1.9919CABEFCB69P+83,0X0P+0
0X1.EP+5,0X1.79DBC9DC53C66P+86,0X0P+0
0X1.FP+5,0X1.5D009394C5C27P+89,0X0P+0
0X1P+6,0X1.425982CF597CDP+92,0X0P+0
0X1.08P+6,0X1.29BB825DFCF87P+95,0X0P+0
0X1.1P+6,0X1.12FEC759586FDP+98,0X0P+0
0X1.18P+6,0X1.FBFD219C43B04P+100,0X0P+0
0X1.2P+6,0X1.D531D8A7EE79CP+103,0X1P+0
0X1.28P+6,0X1.B15CFE5B6E17BP+106,0X1P+0
0X1.3P+6,0X1.9044A73545D48P+109,0X0P+0
0X1.38P+6,0X1.71B3540CBF921P+112,0X0P+0
0X1.4P+6,0X1.55779B984F3EBP+115,0X0P+0
0X1.48P+6,0X1.3B63DA8E9121P+118,0X0P+0
0X1.5P+6,0X1.234DE9E0C74E9P+121,0X0P+0
0X1.58P+6,0X1.0D0EDA9796B9P+124,0X0P+0
0X1.6P+6,0X1.F1056DC7BF22DP+126,0X0P+0
0X1.68P+6,0X1.CB108FFBEC164P+129,0X0P+0
0X1.7P+6,0X1.A801C0EA8AC4DP+132,0X0P+0
0X1.78P+6,0X1.87A0553328015P+135,0X0P+0
0X1.8P+6,0X1.69B7F55B808BAP+138,0X0P+0
0X1.88P+6,0X1.4E184933D9364P+141,0X0P+0
0X1.9P+6,0X1.3494A9B171BF5P+144,0X0P+0
