identity,x,y,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
(a*b)^n=a^n*b^n,0.000000e+00,5.000000e+00,0,0,4607182418800017408,0,0,0,0,0,0,0,
(a*b)^n=a^n*b^n,2.000000e+00,-2.000000e+00,not_finite,not_finite,4602678819172646912,0,not_finite,not_finite,not_finite,not_finite,not_finite,0,
(a*b)^n=a^n*b^n,2.000000e+00,0.000000e+00,0,0,4616189618054758400,0,0,0,0,0,0,0,
(a*b)^n=a^n*b^n,-2.000000e+00,5.000000e+00,0,0,4636737291354636288,0,0,0,0,0,0,0,
(a*b)^n=a^n*b^n,-2.000000e+00,1.000000e+22,0,0,4636737291354636288,0,0,0,0,0,0,not_finite,
(a*b)^n=a^n*b^n,8.000000e+00,8.000000e+00,0,0,4587366580439587226,0,0,0,0,0,0,0,
(a*b)^n=a^n*b^n,-1.000000e-22,-1.000000e-23,1,1,4618441417868443648,0,0,0,1,1,1,0,
(a*b)^n=a^n*b^n,1.000000e+22,3.000000e+00,0,0,4618441417868443648,0,0,0,0,0,0,0,
(a*b)^n=a^n*b^n,2.225074e-308,3.000000e+00,0,0,4618441417868443648,0,0,0,0,0,0,0,
(a*b)^n=a^n*b^n,1.797693e+308,3.000000e+00,not_finite,not_finite,4618441417868443648,not_finite,0,0,not_finite,not_finite,not_finite,not_finite,
