x,newlib,openlibm,mpfr64,mpfr128,crlibm,libmcr,
-3.141593e+00,1.000000e+00,4.000000e+00,3.200000e+01,3.200000e+01,0.000000e+00,1.000000e+00,
-3.078761e+00,0.000000e+00,0.000000e+00,6.000000e+00,6.000000e+00,0.000000e+00,0.000000e+00,
-3.015929e+00,0.000000e+00,1.000000e+00,5.000000e+00,5.000000e+00,0.000000e+00,1.000000e+00,
-2.953097e+00,0.000000e+00,0.000000e+00,5.000000e+00,4.000000e+00,0.000000e+00,0.000000e+00,
-2.890265e+00,0.000000e+00,0.000000e+00,4.000000e+00,5.000000e+00,0.000000e+00,0.000000e+00,
-2.827433e+00,0.000000e+00,1.000000e+00,4.000000e+00,4.000000e+00,0.000000e+00,1.000000e+00,
-2.764602e+00,0.000000e+00,0.000000e+00,5.000000e+00,4.000000e+00,0.000000e+00,1.000000e+00,
-2.701770e+00,0.000000e+00,0.000000e+00,5.000000e+00,4.000000e+00,0.000000e+00,0.000000e+00,
-2.638938e+00,0.000000e+00,1.000000e+00,5.000000e+00,4.000000e+00,0.000000e+00,0.000000e+00,
-2.576106e+00,0.000000e+00,1.000000e+00,4.000000e+00,5.000000e+00,1.000000e+00,1.000000e+00,
-2.513274e+00,0.000000e+00,0.000000e+00,5.000000e+00,5.000000e+00,0.000000e+00,1.000000e+00,
-2.450442e+00,0.000000e+00,0.000000e+00,4.000000e+00,4.000000e+00,0.000000e+00,1.000000e+00,
-2.387610e+00,0.000000e+00,0.000000e+00,5.000000e+00,4.000000e+00,0.000000e+00,0.000000e+00,
-2.324779e+00,0.000000e+00,1.000000e+00,4.000000e+00,6.000000e+00,0.000000e+00,1.000000e+00,
-2.261947e+00,0.000000e+00,1.000000e+00,5.000000e+00,4.000000e+00,1.000000e+00,1.000000e+00,
-2.199115e+00,0.000000e+00,0.000000e+00,4.000000e+00,4.000000e+00,0.000000e+00,0.000000e+00,
-2.136283e+00,1.000000e+00,0.000000e+00,5.000000e+00,4.000000e+00,0.000000e+00,1.000000e+00,
-2.073451e+00,0.000000e+00,0.000000e+00,4.000000e+00,4.000000e+00,0.000000e+00,0.000000e+00,
-2.010619e+00,0.000000e+00,0.000000e+00,7.000000e+00,7.000000e+00,0.000000e+00,0.000000e+00,
-1.947787e+00,0.000000e+00,0.000000e+00,3.000000e+00,4.000000e+00,1.000000e+00,1.000000e+00,
