x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,
-4.000000e+00,0.000000e+00,0.000000e+00,3.147016e-317,6.000000e+00,5.000000e+00,1.000000e+00,1.797693e+308,0.000000e+00,
-3.900000e+00,0.000000e+00,1.000000e+00,3.147016e-317,1.200000e+01,1.000000e+01,1.000000e+00,1.797693e+308,1.000000e+00,
-3.800000e+00,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,9.000000e+00,0.000000e+00,1.797693e+308,0.000000e+00,
-3.700000e+00,1.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,9.000000e+00,0.000000e+00,1.797693e+308,1.000000e+00,
-3.600000e+00,1.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,9.000000e+00,0.000000e+00,1.797693e+308,0.000000e+00,
-3.500000e+00,0.000000e+00,1.000000e+00,3.147016e-317,1.000000e+01,9.000000e+00,1.000000e+00,1.797693e+308,1.000000e+00,
-3.400000e+00,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,1.000000e+01,0.000000e+00,1.797693e+308,0.000000e+00,
-3.300000e+00,0.000000e+00,0.000000e+00,3.147016e-317,9.000000e+00,1.000000e+01,0.000000e+00,1.797693e+308,1.000000e+00,
-3.200000e+00,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,1.000000e+01,0.000000e+00,1.797693e+308,0.000000e+00,
-3.100000e+00,0.000000e+00,0.000000e+00,3.147016e-317,1.400000e+01,1.000000e+01,0.000000e+00,1.797693e+308,1.000000e+00,
-3.000000e+00,0.000000e+00,1.000000e+00,3.147016e-317,1.700000e+01,9.000000e+00,0.000000e+00,1.797693e+308,0.000000e+00,
-2.900000e+00,1.000000e+00,1.000000e+00,3.147016e-317,1.200000e+01,1.000000e+01,0.000000e+00,1.797693e+308,0.000000e+00,
-2.800000e+00,1.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,1.000000e+01,0.000000e+00,1.797693e+308,0.000000e+00,
-2.700000e+00,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,1.000000e+01,1.000000e+00,1.797693e+308,1.000000e+00,
-2.600000e+00,0.000000e+00,0.000000e+00,3.147016e-317,1.100000e+01,1.000000e+01,1.000000e+00,1.797693e+308,0.000000e+00,
