x,y,newlib,openlibm,matlab,maple,mpfr64,mpfr128,intel-mkl,mathematica,
-1.000000e+00,-1.000000e+00,2181776508638544,2181776508638544,2181776508638544,9224118481872553785,2181776508638545,2181776508638545,2181776508638544,2181776508638544,
-8.000000e-01,-1.000000e+00,1845006497453972,1845006497453972,1845006497453972,9224104883479089294,1845006497453972,1845006497453972,1845006497453972,1845006497453972,
-6.000000e-01,-1.000000e+00,1437028289370380,1437028289370380,1437028289370380,9224090808846693030,1437028289370381,1437028289370381,1437028289370380,1437028289370380,
-4.000000e-01,-1.000000e+00,1349821754814826,1349821754814826,1349821754814826,9223813589883738604,1349821754814827,1349821754814827,1349821754814826,1349821754814826,
-2.000000e-01,-1.000000e+00,1326419578505332,1326419578505332,1326419578505332,9223127789183108126,1326419578505332,1326419578505332,1326419578505332,1326419578505332,
0.000000e+00,-1.000000e+00,884279719003555,884279719003555,884279719003555,4613372376833042293,884279719003555,884279719003555,884279719003555,884279719003555,
2.000000e-01,-1.000000e+00,828717808392023,828717808392023,828717808392023,4612983443458761568,828717808392023,828717808392023,828717808392023,828717808392023,
4.000000e-01,-1.000000e+00,777176695367596,777176695367596,777176695367596,4612622655667590580,777176695367596,777176695367596,777176695367596,777176695367596,
6.000000e-01,-1.000000e+00,732165152750908,732165152750908,732165152750908,4612307574869273764,732165152750907,732165152750907,732165152750908,732165152750908,
8.000000e-01,-1.000000e+00,694357028005454,694357028005454,694357028005454,4612042917996055590,694357028005453,694357028005453,694357028005454,694357028005454,
1.000000e+00,-1.000000e+00,663209789252667,663209789252667,663209789252667,4611824887324786071,663209789252667,663209789252667,663209789252667,663209789252667,
-1.000000e+00,-8.000000e-01,711224324371228,711224324371228,711224324371228,4611527694879645205,711224324371228,711224324371228,711224324371228,711224324371228,
-8.000000e-01,-8.000000e-01,663209789252666,663209789252666,663209789252666,4611824887324786072,663209789252667,663209789252667,663209789252666,663209789252666,
-6.000000e-01,-8.000000e-01,703150259392684,703150259392684,703150259392684,4612104470615766196,703150259392685,703150259392685,703150259392684,703150259392684,
-4.000000e-01,-8.000000e-01,753774519058102,753774519058102,753774519058101,4612458840433424121,753774519058102,753774519058102,753774519058102,753774519058102,
