x,y,newlib,openlibm,matlab,maple,mpfr64,mpfr128,intel-mkl,mathematica,
-2.000000e-01,-8.000000e-01,815324355505314,815324355505314,815324355505313,4612889689288554601,815324355505314,815324355505314,815324355505314,815324355505314,
0.000000e+00,-8.000000e-01,884279719003555,884279719003555,884279719003555,4613372376833042293,884279719003555,884279719003555,884279719003555,884279719003555,
2.000000e-01,-8.000000e-01,815324355505314,815324355505314,815324355505314,4612889689288554600,815324355505313,815324355505313,815324355505314,815324355505314,
4.000000e-01,-8.000000e-01,753774519058101,753774519058101,753774519058101,4612458840433424121,753774519058101,753774519058101,753774519058101,753774519058101,
6.000000e-01,-8.000000e-01,703150259392684,703150259392684,703150259392684,4612104470615766196,703150259392683,703150259392683,703150259392684,703150259392684,
8.000000e-01,-8.000000e-01,663209789252667,663209789252667,663209789252667,4611824887324786071,663209789252667,663209789252667,663209789252667,663209789252667,
1.000000e+00,-8.000000e-01,711224324371228,711224324371228,711224324371228,4611527694879645205,711224324371227,711224324371227,711224324371228,711224324371228,
-1.000000e+00,-6.000000e-01,938073072843949,938073072843949,938073072843949,4610998381133208855,938073072843950,938073072843950,938073072843949,938073072843949,
-8.000000e-01,-6.000000e-01,763983712694605,763983712694605,763983712694605,4611404589640223991,763983712694606,763983712694606,763983712694605,763983712694605,
-6.000000e-01,-6.000000e-01,663209789252666,663209789252666,663209789252666,4611824887324786072,663209789252667,663209789252667,663209789252666,663209789252666,
-4.000000e-01,-6.000000e-01,718771699864198,718771699864198,718771699864198,4612213820699066797,718771699864199,718771699864199,718771699864198,718771699864198,
-2.000000e-01,-6.000000e-01,793714989198120,793714989198120,793714989198120,4612738423724404244,793714989198121,793714989198121,793714989198120,793714989198120,
0.000000e+00,-6.000000e-01,884279719003555,884279719003555,884279719003555,4613372376833042293,884279719003555,884279719003555,884279719003555,884279719003555,
2.000000e-01,-6.000000e-01,793714989198120,793714989198120,793714989198120,4612738423724404244,793714989198119,793714989198119,793714989198120,793714989198120,
4.000000e-01,-6.000000e-01,718771699864200,718771699864200,718771699864199,4612213820699066795,718771699864199,718771699864199,718771699864199,718771699864200,
6.000000e-01,-6.000000e-01,663209789252667,663209789252667,663209789252667,4611824887324786071,663209789252666,663209789252666,663209789252667,663209789252667,
8.000000e-01,-6.000000e-01,763983712694605,763983712694605,763983712694605,4611404589640223991,763983712694605,763983712694605,763983712694605,763983712694605,
1.000000e+00,-6.000000e-01,938073072843949,938073072843949,938073072843949,4610998381133208855,938073072843949,938073072843949,938073072843949,938073072843949,
-1.000000e+00,-4.000000e-01,1098485766275473,1098485766275473,1098485766275473,4610368219536575223,1098485766275473,1098485766275473,1098485766275473,1098485766275473,
-8.000000e-01,-4.000000e-01,1067729270687110,1067729270687110,1067729270687110,4610695850004908144,1067729270687110,1067729270687110,1067729270687110,1067729270687110,
-6.000000e-01,-4.000000e-01,857712355523691,857712355523691,857712355523691,4611185889473622790,857712355523692,857712355523692,857712355523691,857712355523691,
-4.000000e-01,-4.000000e-01,663209789252666,663209789252666,663209789252666,4611824887324786072,663209789252667,663209789252667,663209789252666,663209789252666,
-2.000000e-01,-4.000000e-01,753774519058101,753774519058101,753774519058101,4612458840433424121,753774519058102,753774519058102,753774519058101,753774519058101,
0.000000e+00,-4.000000e-01,884279719003555,884279719003555,884279719003555,4613372376833042293,884279719003555,884279719003555,884279719003555,884279719003555,
2.000000e-01,-4.000000e-01,753774519058101,753774519058101,753774519058101,4612458840433424120,753774519058101,753774519058101,753774519058101,753774519058101,
4.000000e-01,-4.000000e-01,663209789252667,663209789252667,663209789252667,4611824887324786071,663209789252666,663209789252666,663209789252667,663209789252667,
6.000000e-01,-4.000000e-01,857712355523692,857712355523692,857712355523692,4611185889473622789,857712355523692,857712355523692,857712355523692,857712355523692,
8.000000e-01,-4.000000e-01,1067729270687112,1067729270687112,1067729270687112,4610695850004908142,1067729270687111,1067729270687111,1067729270687112,1067729270687112,
1.000000e+00,-4.000000e-01,1098485766275473,1098485766275473,1098485766275473,4610368219536575223,1098485766275472,1098485766275472,1098485766275473,1098485766275473,
-1.000000e+00,-2.000000e-01,995403540226620,995403540226620,995403540226620,4609646643954233246,995403540226620,995403540226620,995403540226620,995403540226620,
-8.000000e-01,-2.000000e-01,1022190446000040,1022190446000040,1022190446000040,4609834152294647180,1022190446000040,1022190446000040,1022190446000040,1022190446000040,
-6.000000e-01,-2.000000e-01,1065409178614426,1065409178614426,1065409178614427,4610136683422947894,1065409178614427,1065409178614427,1065409178614426,1065409178614426,
-4.000000e-01,-2.000000e-01,1067729270687110,1067729270687110,1067729270687110,4610695850004908144,1067729270687111,1067729270687111,1067729270687110,1067729270687110,
-2.000000e-01,-2.000000e-01,663209789252666,663209789252666,663209789252666,4611824887324786072,663209789252667,663209789252667,663209789252666,663209789252666,
0.000000e+00,-2.000000e-01,884279719003555,884279719003555,884279719003555,4613372376833042293,884279719003555,884279719003555,884279719003555,884279719003555,
2.000000e-01,-2.000000e-01,663209789252666,663209789252666,663209789252666,4611824887324786071,663209789252665,663209789252665,663209789252666,663209789252666,
4.000000e-01,-2.000000e-01,1067729270687112,1067729270687112,1067729270687112,4610695850004908142,1067729270687111,1067729270687111,1067729270687112,1067729270687112,
6.000000e-01,-2.000000e-01,1065409178614426,1065409178614426,1065409178614427,4610136683422947894,1065409178614426,1065409178614426,1065409178614426,1065409178614426,
8.000000e-01,-2.000000e-01,1022190446000040,1022190446000040,1022190446000040,4609834152294647180,1022190446000039,1022190446000039,1022190446000040,1022190446000040,
1.000000e+00,-2.000000e-01,995403540226620,995403540226620,995403540226620,4609646643954233246,995403540226619,995403540226619,995403540226620,995403540226620,
-1.000000e+00,0.000000e+00,884279719003555,884279719003555,884279719003555,4608868777205671797,884279719003556,884279719003556,884279719003555,884279719003555,
-8.000000e-01,0.000000e+00,884279719003555,884279719003555,884279719003555,4608868777205671797,884279719003556,884279719003556,884279719003555,884279719003555,
-6.000000e-01,0.000000e+00,884279719003555,884279719003555,884279719003555,4608868777205671797,884279719003556,884279719003556,884279719003555,884279719003555,
-4.000000e-01,0.000000e+00,884279719003555,884279719003555,884279719003555,4608868777205671797,884279719003556,884279719003556,884279719003555,884279719003555,
-2.000000e-01,0.000000e+00,884279719003555,884279719003555,884279719003555,4608868777205671797,884279719003556,884279719003556,884279719003555,884279719003555,
0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,not_finite,
2.000000e-01,0.000000e+00,884279719003555,884279719003555,884279719003555,4608868777205671797,884279719003555,884279719003555,884279719003555,884279719003555,
4.000000e-01,0.000000e+00,884279719003555,884279719003555,884279719003555,4608868777205671797,884279719003555,884279719003555,884279719003555,884279719003555,
6.000000e-01,0.000000e+00,884279719003555,884279719003555,884279719003555,4608868777205671797,884279719003555,884279719003555,884279719003555,884279719003555,
8.000000e-01,0.000000e+00,884279719003555,884279719003555,884279719003555,4608868777205671797,884279719003555,884279719003555,884279719003555,884279719003555,
1.000000e+00,0.000000e+00,884279719003555,884279719003555,884279719003555,4608868777205671797,884279719003555,884279719003555,884279719003555,884279719003555,
-1.000000e+00,2.000000e-01,773155897780490,773155897780490,773155897780490,4608090910457110348,773155897780491,773155897780491,773155897780490,773155897780490,
-8.000000e-01,2.000000e-01,746368992007072,746368992007072,746368992007072,4607903402116696412,746368992007072,746368992007072,746368992007072,746368992007072,
-6.000000e-01,2.000000e-01,703150259392684,703150259392684,703150259392684,4607600870988395699,703150259392684,703150259392684,703150259392684,703150259392684,
-4.000000e-01,2.000000e-01,763983712694606,763983712694606,763983712694606,4606900990012853492,763983712694607,763983712694607,763983712694606,763983712694606,
-2.000000e-01,2.000000e-01,884279719003555,884279719003555,884279719003555,4604365177578301296,884279719003556,884279719003556,884279719003555,884279719003555,
0.000000e+00,2.000000e-01,0,0,0,0,0,0,0,0,
2.000000e-01,2.000000e-01,884279719003555,884279719003555,884279719003555,4604365177578301301,884279719003555,884279719003555,884279719003555,884279719003555,
4.000000e-01,2.000000e-01,763983712694605,763983712694605,763983712694605,4606900990012853494,763983712694605,763983712694605,763983712694605,763983712694605,
6.000000e-01,2.000000e-01,703150259392684,703150259392684,703150259392684,4607600870988395699,703150259392683,703150259392683,703150259392684,703150259392684,
8.000000e-01,2.000000e-01,746368992007072,746368992007072,746368992007072,4607903402116696412,746368992007071,746368992007071,746368992007072,746368992007072,
1.000000e+00,2.000000e-01,773155897780490,773155897780490,773155897780490,4608090910457110348,773155897780490,773155897780490,773155897780490,773155897780490,
-1.000000e+00,4.000000e-01,670073671731637,670073671731637,670073671731637,4607369334874768371,670073671731637,670073671731637,670073671731637,670073671731637,
-8.000000e-01,4.000000e-01,763983712694605,763983712694605,763983712694605,4606900990012853495,763983712694605,763983712694605,763983712694605,763983712694605,
-6.000000e-01,4.000000e-01,1106527361449684,1106527361449684,1106527361449684,4605920911075424198,1106527361449684,1106527361449684,1106527361449684,1106527361449684,
-4.000000e-01,4.000000e-01,884279719003554,884279719003554,884279719003554,4604365177578301300,884279719003554,884279719003554,884279719003554,884279719003554,
-2.000000e-01,4.000000e-01,1044041599563625,1044041599563625,1044041599563625,4600979911114851298,1044041599563626,1044041599563626,1044041599563625,1044041599563626,
0.000000e+00,4.000000e-01,0,0,0,0,0,0,0,0,
2.000000e-01,4.000000e-01,1044041599563627,1044041599563627,1044041599563627,4600979911114851304,1044041599563627,1044041599563627,1044041599563627,1044041599563628,
4.000000e-01,4.000000e-01,884279719003555,884279719003555,884279719003555,4604365177578301301,884279719003555,884279719003555,884279719003555,884279719003555,
6.000000e-01,4.000000e-01,1106527361449684,1106527361449684,1106527361449685,4605920911075424198,1106527361449684,1106527361449684,1106527361449684,1106527361449684,
8.000000e-01,4.000000e-01,763983712694605,763983712694605,763983712694605,4606900990012853495,763983712694604,763983712694604,763983712694605,763983712694605,
1.000000e+00,4.000000e-01,670073671731637,670073671731637,670073671731637,4607369334874768371,670073671731636,670073671731636,670073671731637,670073671731637,
-1.000000e+00,6.000000e-01,1023296108380930,1023296108380930,1023296108380930,4606295927756252070,1023296108380930,1023296108380930,1023296108380930,1023296108380930,
-8.000000e-01,6.000000e-01,1044041599563625,1044041599563625,1044041599563625,4605483510742221798,1044041599563626,1044041599563626,1044041599563625,1044041599563625,
-6.000000e-01,6.000000e-01,884279719003555,884279719003555,884279719003555,4604365177578301300,884279719003556,884279719003556,884279719003555,884279719003555,
-4.000000e-01,6.000000e-01,662032076557426,662032076557426,662032076557426,4602809444081178402,662032076557426,662032076557426,662032076557426,662032076557426,
-2.000000e-01,6.000000e-01,724517838443484,724517838443484,724517838443484,4598743244787010307,724517838443485,724517838443485,724517838443484,724517838443484,
0.000000e+00,6.000000e-01,0,0,0,0,0,0,0,0,
2.000000e-01,6.000000e-01,724517838443485,724517838443485,724517838443485,4598743244787010312,724517838443485,724517838443485,724517838443485,724517838443485,
4.000000e-01,6.000000e-01,662032076557426,662032076557426,662032076557426,4602809444081178404,662032076557426,662032076557426,662032076557426,662032076557426,
6.000000e-01,6.000000e-01,884279719003555,884279719003555,884279719003555,4604365177578301301,884279719003555,884279719003555,884279719003555,884279719003555,
8.000000e-01,6.000000e-01,1044041599563626,1044041599563626,1044041599563626,4605483510742221797,1044041599563626,1044041599563626,1044041599563626,1044041599563626,
1.000000e+00,6.000000e-01,1023296108380930,1023296108380930,1023296108380930,4606295927756252070,1023296108380929,1023296108380929,1023296108380930,1023296108380930,
-1.000000e+00,8.000000e-01,1008868674014707,1008868674014707,1008868674014707,4605237300263379371,1008868674014708,1008868674014708,1008868674014707,1008868674014707,
-8.000000e-01,8.000000e-01,884279719003555,884279719003555,884279719003555,4604365177578301301,884279719003556,884279719003556,884279719003555,884279719003555,
-6.000000e-01,8.000000e-01,724517838443484,724517838443484,724517838443483,4603246844414380805,724517838443484,724517838443484,724517838443484,724517838443484,
-4.000000e-01,8.000000e-01,1044041599563624,1044041599563624,1044041599563625,4600979911114851301,1044041599563625,1044041599563625,1044041599563624,1044041599563624,
-2.000000e-01,8.000000e-01,1103285815971868,1103285815971868,1103285815971869,4596891021002338495,1103285815971869,1103285815971869,1103285815971868,1103285815971868,
0.000000e+00,8.000000e-01,0,0,0,0,0,0,0,0,
2.000000e-01,8.000000e-01,1103285815971869,1103285815971869,1103285815971870,4596891021002338503,1103285815971869,1103285815971869,1103285815971869,1103285815971870,
4.000000e-01,8.000000e-01,1044041599563626,1044041599563626,1044041599563626,4600979911114851303,1044041599563626,1044041599563626,1044041599563626,1044041599563626,
6.000000e-01,8.000000e-01,724517838443485,724517838443485,724517838443485,4603246844414380805,724517838443484,724517838443484,724517838443485,724517838443485,
8.000000e-01,8.000000e-01,884279719003555,884279719003555,884279719003555,4604365177578301301,884279719003555,884279719003555,884279719003555,884279719003555,
1.000000e+00,8.000000e-01,1008868674014707,1008868674014707,1008868674014707,4605237300263379371,1008868674014707,1008868674014707,1008868674014707,1008868674014707,
-1.000000e+00,1.000000e+00,884279719003555,884279719003555,884279719003555,4604365177578301301,884279719003556,884279719003556,884279719003555,884279719003555,
-8.000000e-01,1.000000e+00,759690763992403,759690763992403,759690763992403,4603493054893223232,759690763992403,759690763992403,759690763992402,759690763992403,
-6.000000e-01,1.000000e+00,852850037306968,852850037306968,852850037306968,4602190035628054153,852850037306968,852850037306968,852850037306968,852850037306968,
-4.000000e-01,1.000000e+00,856824189087671,856824189087671,856824189087671,4599669389241519623,856824189087672,856824189087672,856824189087671,856824189087671,
-2.000000e-01,1.000000e+00,888990569784514,888990569784514,888990569784514,4595390954279027016,888990569784514,888990569784514,888990569784514,888990569784514,
0.000000e+00,1.000000e+00,0,0,0,0,0,0,0,0,
2.000000e-01,1.000000e+00,888990569784515,888990569784515,888990569784515,4595390954279027023,888990569784514,888990569784514,888990569784515,888990569784515,
4.000000e-01,1.000000e+00,856824189087673,856824189087673,856824189087673,4599669389241519625,856824189087672,856824189087672,856824189087673,856824189087673,
6.000000e-01,1.000000e+00,852850037306968,852850037306968,852850037306968,4602190035628054154,852850037306967,852850037306967,852850037306968,852850037306968,
8.000000e-01,1.000000e+00,759690763992404,759690763992404,759690763992404,4603493054893223231,759690763992403,759690763992403,759690763992403,759690763992404,
1.000000e+00,1.000000e+00,884279719003555,884279719003555,884279719003555,4604365177578301301,884279719003555,884279719003555,884279719003555,884279719003555,
