0X0P+0,0X0P+0,0X1P+0
0X1.9P+4,0X1.4P+2,0X0P+0
0X1P-2,0X1P-1,0X1P+0
0X1P+6,0X1P+3,0X1P+0
0X1.47AE147AE147BP-1,0X1.999999999999AP-1,0X1P+0
INF,INF,0X1P+0
-NAN,-NAN,0X1P+0
