x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,
0.000000e+00,1.100000e+01,2.000000e+00,3.147016e-317,6.000000e+00,1.000000e+00,0.000000e+00,1.797693e+308,
1.000000e+00,1.000000e+00,1.000000e+00,3.147016e-317,1.000000e+00,1.000000e+00,0.000000e+00,1.797693e+308,
-1.000000e+00,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,1.000000e+00,1.000000e+00,1.797693e+308,
5.000000e-01,1.000000e+00,1.000000e+00,3.147016e-317,3.800000e+01,2.600000e+01,0.000000e+00,1.797693e+308,
-5.000000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.600000e+01,1.400000e+01,0.000000e+00,1.797693e+308,
7.071068e-01,0.000000e+00,0.000000e+00,3.147016e-317,2.100000e+01,1.900000e+01,1.000000e+00,1.797693e+308,
-7.071068e-01,0.000000e+00,1.000000e+00,3.147016e-317,1.600000e+01,1.400000e+01,0.000000e+00,1.797693e+308,
8.660254e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.700000e+01,1.600000e+01,1.000000e+00,1.797693e+308,
-8.660254e-01,1.000000e+00,0.000000e+00,3.147016e-317,1.300000e+01,1.200000e+01,1.000000e+00,1.797693e+308,
0.000000e+00,0.000000e+00,1.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.000000e+00,1.797693e+308,
