x,y,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,not_finite,
0.000000e+00,0.000000e+00,0,0,0,0,4607182418800017408,4607182418800017408,4607182418800017408,4607182418800017408,
1.200000e+01,0.000000e+00,not_finite,13828302655841107968,not_finite,not_finite,9221120237041090560,9221120237041090560,9221120237041090560,9221120237041090560,
0.000000e+00,0.000000e+00,0,4607182418800017408,0,0,4607182418800017408,4607182418800017408,4607182418800017408,4607182418800017408,
8.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,
1.100000e+01,0.000000e+00,0,0,0,0,0,0,0,0,
