(x*y)^a=x^a*y^a,0.00E+00,5.00E+00,1.00E+00,0,0
(x*y)^a=x^a*y^a,2.00E+00,-2.00E+00,5.00E-01,2.000000000000000I,2.000000000000000I
(x*y)^a=x^a*y^a,2.00E+00,0.00E+00,4.00E+00,0,0
(x*y)^a=x^a*y^a,-2.00E+00,5.00E+00,1.00E+02,1.00E+100,1.00E+100
(x*y)^a=x^a*y^a,-2.00E+00,1.00E+22,-1.00E+02,7.888609052210118e-2231,7.888609052210118e-2231     
(x*y)^a=x^a*y^a,8.00E+00,8.00E+00,-5.00E-02,0.812252396,0.812252396
(x*y)^a=x^a*y^a,-1.00E-22,-1.00E-23,6.00E+00,1.00E-270,1.00E-270
(x*y)^a=x^a*y^a,1.00E+22,3.00E+00,6.00E+00,7.29E+134,7.29E+134
(x*y)^a=x^a*y^a,0.00E+00,3.00E+00,6.00E+00,8.846961081628431e-1844,8.846961081628430e-1844     
(x*y)^a=x^a*y^a,1.79769313486231570000000000000000000000000000000000000000000000000000000000000000e+308,3.00E+00,6.00E+00,2.460485940782872e+1852,2.460485940782872e+1852
