x,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,
-4.000000e+00,0,0,0,0,0,0,756588440305386,
-3.900000e+00,0,0,1,1,0,0,1913779172538554,
-3.800000e+00,0,0,0,0,0,0,3451380550661440,
-3.700000e+00,0,0,0,0,0,0,4761955162464145,
-3.600000e+00,0,0,1,1,0,0,5971694547429112,
-3.500000e+00,0,0,0,0,0,0,8080151768430334,
-3.400000e+00,0,0,0,0,0,0,10031665855425484,
-3.300000e+00,0,0,0,0,0,0,13504474839259724,
-3.200000e+00,0,0,1,1,0,1,19801193175568837,
-3.100000e+00,0,0,1,1,0,0,9194506157180773708,
-3.000000e+00,0,0,0,0,0,0,9202607822004501967,
-2.900000e+00,0,0,0,0,0,0,9206303304244713615,
-2.800000e+00,0,0,1,1,0,0,9208284490421696760,
-2.700000e+00,0,0,0,0,0,0,9210343128497463300,
-2.600000e+00,0,0,0,0,0,0,9211693373093864624,
-2.500000e+00,0,0,1,1,0,0,9212943206770739389,
-2.400000e+00,0,1,1,1,0,0,9214401018557661185,
-2.300000e+00,0,0,0,0,0,0,9215625316899146968,
-2.200000e+00,0,0,1,1,0,0,9216697665684786995,
-2.100000e+00,0,0,0,0,0,0,9218130854162700863,
-2.000000e+00,0,0,1,1,0,0,9219767664882552636,
-1.900000e+00,0,0,0,0,0,0,9221344818742202356,
-1.800000e+00,0,0,0,0,0,0,9223981208336808642,
-1.700000e+00,0,0,0,0,0,0,9227710006672714400,
-1.600000e+00,0,0,0,0,0,0,9237251967242988017,
-1.500000e+00,0,0,1,1,0,0,17100573320319196,
-1.400000e+00,0,0,1,1,0,0,11476870821099110,
-1.300000e+00,0,0,1,1,0,0,8875918527913268,
-1.200000e+00,0,0,1,1,0,0,6908340377757348,
-1.100000e+00,0,0,1,1,0,0,5849262243224954,
-1.000000e+00,0,0,1,1,0,0,4443302723761806,
-9.000000e-01,0,0,0,0,0,0,3578236067683705,
-8.000000e-01,0,0,1,1,0,0,3063153337289592,
-7.000000e-01,0,0,0,0,0,0,2085728821486590,
-6.000000e-01,0,0,0,0,0,0,1294490430151464,
-5.000000e-01,0,0,1,1,0,0,1071922210245627,
-4.000000e-01,0,0,1,1,0,0,761772016754456,
-3.000000e-01,0,0,0,0,0,0,322087629875857,
-2.000000e-01,0,0,1,1,0,0,191474164772831,
-1.000000e-01,0,0,0,0,0,0,47991769546547,
0.000000e+00,0,0,0,0,0,0,0,
1.000000e-01,0,0,0,0,0,0,47991769546548,
2.000000e-01,0,0,1,1,0,0,191474164772832,
3.000000e-01,0,0,1,1,0,0,322087629875857,
4.000000e-01,0,0,0,0,0,0,761772016754458,
5.000000e-01,0,0,0,0,0,0,1071922210245627,
6.000000e-01,0,0,0,0,0,0,1294490430151471,
7.000000e-01,0,1,1,1,0,1,2085728821486594,
8.000000e-01,0,0,0,0,0,0,3063153337289595,
9.000000e-01,0,0,0,0,0,0,3578236067683708,
1.000000e+00,0,0,0,0,0,0,4443302723761806,
1.100000e+00,0,0,1,1,0,0,5849262243224969,
1.200000e+00,0,0,1,1,0,0,6908340377757353,
1.300000e+00,0,0,0,0,0,0,8875918527913293,
1.400000e+00,0,0,1,1,0,0,11476870821099125,
1.500000e+00,0,0,0,0,0,0,17100573320319196,
1.600000e+00,0,0,1,1,0,0,9237251967242987872,
1.700000e+00,0,0,0,0,0,0,9227710006672714370,
1.800000e+00,0,0,0,0,0,0,9223981208336808623,
1.900000e+00,0,0,0,0,0,0,9221344818742202346,
2.000000e+00,0,0,0,0,0,0,9219767664882552636,
2.100000e+00,0,1,0,0,0,0,9218130854162700847,
2.200000e+00,0,0,0,0,0,0,9216697665684786995,
2.300000e+00,0,0,0,0,0,0,9215625316899146959,
2.400000e+00,0,0,1,1,0,0,9214401018557661178,
2.500000e+00,0,0,0,0,0,0,9212943206770739389,
2.600000e+00,0,0,0,0,0,0,9211693373093864613,
2.700000e+00,0,0,1,1,0,0,9210343128497463300,
2.800000e+00,0,0,1,1,0,0,9208284490421696743,
2.900000e+00,0,0,0,0,0,0,9206303304244713598,
3.000000e+00,0,0,1,1,0,0,9202607822004501967,
3.100000e+00,0,1,1,1,0,1,9194506157180773644,
3.200000e+00,0,0,0,0,0,1,19801193175568837,
3.300000e+00,0,0,0,0,0,0,13504474839259691,
3.400000e+00,0,0,1,1,0,0,10031665855425475,
3.500000e+00,0,0,1,1,0,0,8080151768430334,
3.600000e+00,0,0,0,0,0,0,5971694547429102,
3.700000e+00,0,0,1,1,0,0,4761955162464145,
3.800000e+00,0,0,1,1,0,0,3451380550661427,
3.900000e+00,0,0,0,0,0,0,1913779172538547,
4.000000e+00,0,0,1,1,0,0,756588440305386,
-1.797693e+308,0,0,1,1,0,0,9182123893886206364,
-1.617924e+308,0,0,1,1,0,0,9216351733787203449,
-1.438155e+308,0,0,1,1,0,0,9233757087848144546,
-1.258385e+308,0,0,1,1,0,0,1448229686577444,
-1.078616e+308,0,0,1,1,0,0,6727876164478376,
-8.988466e+307,0,0,1,1,0,0,36045344454182140,
-7.190773e+307,0,0,1,1,0,0,9204504769200320188,
-5.393079e+307,0,0,1,1,0,0,9218115461784655600,
-3.595386e+307,0,0,1,1,0,0,13744798973186171,
-1.797693e+307,0,0,1,1,0,0,3237775448907142,
1.797693e+307,0,0,0,0,0,0,9213830270829815154,
3.595386e+307,0,0,0,0,0,0,9222106825558628676,
5.393079e+307,0,0,0,0,0,0,19717876129585639,
7.190773e+307,0,0,0,0,0,0,2234527842347890,
8.988466e+307,0,0,0,0,0,0,36045344454182140,
1.078616e+308,0,0,0,0,0,0,15184273332236966,
1.258385e+308,0,0,0,0,0,0,1448229686577444,
1.438155e+308,0,0,0,0,0,0,9233757087848144546,
1.617924e+308,0,0,0,0,0,0,9216351733787203449,
1.797693e+308,0,0,0,0,0,0,9182123893886206364,
