0X0P+0,0X0P+0,0X1P+0
0X1P+0,0X1P+0,0X0P+0
0X1P+1,0X1.6A09E667F3BCDP+0,0X0P+0
0X1.8P+1,0X1.BB67AE8584CAAP+0,0X0P+0
0X1P+2,0X1P+1,0X0P+0
0X1.4P+2,0X1.1E3779B97F4A8P+1,0X0P+0
0X1.8P+2,0X1.3988E1409212EP+1,0X0P+0
0X1.CP+2,0X1.52A7FA9D2F8EAP+1,0X0P+0
0X1P+3,0X1.6A09E667F3BCDP+1,0X0P+0
0X1.2P+3,0X1.8P+1,0X0P+0
0X1.4P+3,0X1.94C583ADA5B53P+1,0X0P+0
0X1.6P+3,0X1.A887293FD6F34P+1,0X0P+0
0X1.8P+3,0X1.BB67AE8584CAAP+1,0X0P+0
0X1.AP+3,0X1.CD82B446159F3P+1,0X0P+0
0X1.CP+3,0X1.DEEEA11683F49P+1,0X0P+0
0X0.0000000000402P-1022,0X1.003FF801FF603P-532,0X0P+0
0X1P+4,0X1P+2,0X1P+0
0X1.1P+4,0X1.07E0F66AFED07P+2,0X1P+0
0X1.2P+4,0X1.0F876CCDF6CD9P+2,0X1P+0
0X1.3P+4,0X1.16F8334644DF9P+2,0X0P+0
0X1.4P+4,0X1.1E3779B97F4A8P+2,0X0P+0
0X1.5P+4,0X1.2548EB9151E85P+2,0X0P+0
0X1.6P+4,0X1.2C2FC595456A7P+2,0X0P+0
0X1.7P+4,0X1.32EEE75770416P+2,0X0P+0
0X1.8P+4,0X1.3988E1409212EP+2,0X0P+0
0X1.9P+4,0X1.4P+2,0X0P+0
0X1.AP+4,0X1.465655F122FF6P+2,0X0P+0
0X1.BP+4,0X1.4C8DC2E42398P+2,0X0P+0
0X1.CP+4,0X1.52A7FA9D2F8EAP+2,0X0P+0
0X1.DP+4,0X1.58A68A4A8D9F3P+2,0X0P+0
0X0.0000000000403P-1022,0X1.005FEE06BCD7BP-532,0X0P+0
0X1.FP+4,0X1.645640568C1C3P+2,0X0P+0
0X1P+5,0X1.6A09E667F3BCDP+2,0X0P+0
0X1.08P+5,0X1.6FA6EA162D0FP+2,0X0P+0
0X1.1P+5,0X1.752E50DB3A3A2P+2,0X0P+0
0X1.18P+5,0X1.7AA10D193C22DP+2,0X1P+0
0X1.2P+5,0X1.8P+2,0X1P+0
0X1.28P+5,0X1.854BFB363DC39P+2,0X1P+0
