0X0P+0,0X0P+0
0X1P+0,0X1.921FB54442D18P-1
-0X1P+0,-0X1.921FB54442D18P-1
0X1.279A74590331CP-1,0X1.0C152382D7365P-1
-0X1.279A74590331CP-1,-0X1.0C152382D7365P-1
0X1.BB67AE8584CAAP+0,0X1.0C152382D7365P+0
-0X1.BB67AE8584CAAP+0,-0X1.0C152382D7365P+0
INF,0X1.921FB54442D18P+0
-INF,-0X1.921FB54442D18P+0
-NAN,-NAN
