x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
4.600000e-01,9214721134851750313,9214721134851750313,6252187010885567,9214721134851750314,9214721134851750314,6252187010885567,6252187010885567,6252187010885567,
4.700000e-01,9214624279513931028,9214624279513931028,6203759341975924,9214624279513931029,9214624279513931029,6203759341975924,6203759341975924,6203759341975924,
4.800000e-01,9214529463388112792,9214529463388112792,6156351279066806,9214529463388112793,9214529463388112793,6156351279066807,6156351279066807,6156351279066807,
4.900000e-01,9214436602373949907,9214436602373949907,6109920771985363,9214436602373949907,9214436602373949907,6109920771985363,6109920771985363,6109920771985363,
5.000000e-01,9214345617468802851,9214345617468802851,6064428319411835,9214345617468802852,9214345617468802852,6064428319411835,6064428319411835,6064428319411835,
5.100000e-01,9214256434363890819,9214256434363890819,6019836766955820,9214256434363890819,9214256434363890819,6019836766955820,6019836766955820,6019836766955820,
5.200000e-01,9214168983079660527,9214168983079660527,5976111124840675,9214168983079660528,9214168983079660528,5976111124840675,5976111124840675,5976111124840675,
5.300000e-01,9214083197635888428,9214083197635888428,5933218402954624,9214083197635888428,9214083197635888428,5933218402954624,5933218402954624,5933218402954624,
5.400000e-01,9213999015752620138,9213999015752620138,5891127461320479,9213999015752620138,9213999015752620138,5891127461320479,5891127461320479,5891127461320479,
5.500000e-01,9213916378578551478,9213916378578551478,5841552441716051,9213916378578551478,9213916378578551478,5841552441716051,5841552441716051,5841552441716051,
5.600000e-01,9213835230443883843,9213835230443883843,5780691340715324,9213835230443883843,9213835230443883843,5780691340715324,5780691340715324,5780691340715324,
5.700000e-01,9213755518635054364,9213755518635054364,5720907484093217,9213755518635054365,9213755518635054365,5720907484093217,5720907484093217,5720907484093217,
5.800000e-01,9213677193189057867,9213677193189057867,5662163399595845,9213677193189057867,9213677193189057867,5662163399595845,5662163399595845,5662163399595845,
5.900000e-01,9213600206705350815,9213600206705350815,5604423536815553,9213600206705350815,9213600206705350815,5604423536815553,5604423536815553,5604423536815553,
6.000000e-01,9213524514173563988,9213524514173563988,5547654137975433,9213524514173563988,9213524514173563988,5547654137975433,5547654137975433,5547654137975433,
