x,newlib,openlibm,mpfr64,mpfr128,
0.000000e+00,2.000000e+00,2.000000e+00,1.000000e+00,0.000000e+00,
2.500000e+01,0.000000e+00,0.000000e+00,5.000000e+00,7.000000e+00,
2.500000e-01,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,
6.400000e+01,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,
6.400000e-01,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,
