x,newlib,openlibm,maple,mpfr64,mpfr128,intel-mkl,mathematica,
81.00000000000000000000,8963464477210,8963464477210,22408661193027,8963464477210,8963464477210,8963464477210,22408661193022,
82.00000000000000000000,8908303124198,8908303124198,22270757810494,8908303124197,8908303124197,8908303124198,22270757810494,
83.00000000000000000000,8854147800212,8854147800212,22135369500532,8854147800211,8854147800211,8854147800212,22135369500528,
84.00000000000000000000,8800968292234,8800968292234,22002420730584,8800968292234,8800968292234,8800968292234,22002420730579,
85.00000000000000000000,8748735642484,8748735642484,21871839106209,8748735642484,8748735642484,8748735642484,21871839106209,
86.00000000000000000000,8697422082166,8697422082166,21743555205416,8697422082165,8697422082165,8697422082166,21743555205412,
87.00000000000000000000,8647000969414,8647000969414,21617502423534,8647000969413,8647000969413,8647000969414,21617502423532,
88.00000000000000000000,8597446731173,8597446731173,21493616827935,8597446731172,8597446731172,8597446731173,21493616827932,
89.00000000000000000000,8548734808695,8548734808695,21371837021736,8548734808695,8548734808695,8548734808695,21371837021731,
90.00000000000000000000,8500841606382,8500841606382,21252104015953,8500841606381,8500841606381,8500841606382,21252104015951,
91.00000000000000000000,8453744443771,8453744443771,21134361109431,8453744443771,8453744443771,8453744443771,21134361109426,
92.00000000000000000000,8407421510395,8407421510395,21018553775987,8407421510395,8407421510395,8407421510395,21018553775984,
93.00000000000000000000,8361851823336,8361851823336,20904629558343,8361851823336,8361851823336,8361851823336,20904629558338,
94.00000000000000000000,8317015187294,8317015187294,20792537968235,8317015187293,8317015187293,8317015187294,20792537968232,
95.00000000000000000000,8272892156974,8272892156974,20682230392434,8272892156974,8272892156974,8272892156974,20682230392429,
96.00000000000000000000,8229464001649,8229464001649,20573660004126,8229464001649,8229464001649,8229464001649,20573660004124,
97.00000000000000000000,8186712671760,8186712671760,20466781679397,8186712671760,8186712671760,8186712671760,20466781679396,
98.00000000000000000000,8144620767374,8144620767374,20361551918437,8144620767373,8144620767373,8144620767374,20361551918435,
99.00000000000000000000,8103171508449,8103171508449,20257928771126,8103171508449,8103171508449,8103171508449,20257928771123,
100.00000000000000000000,8062348706713,8062348706713,20155871766784,8062348706713,8062348706713,8062348706713,20155871766784,
