x,newlib,openlibm,maple,mpfr64,mpfr128,intel-mkl,mathematica,
0.00000000000000000000,0,0,0,0,0,0,0,
0.01000000000000000021,1,1,1,0,0,1,1,
0.02000000000000000042,0,0,18,0,0,0,0,
0.02999999999999999889,1,1,25,0,0,1,1,
0.04000000000000000083,1,1,1,0,0,1,1,
0.05000000000000000278,0,0,1,0,0,0,0,
0.05999999999999999778,0,0,29,0,0,0,0,
0.07000000000000000666,1,1,0,0,0,1,1,
0.08000000000000000167,0,0,0,0,0,0,0,
0.08999999999999999667,0,0,0,0,0,0,0,
0.10000000000000000555,0,0,17,0,0,0,0,
0.11000000000000000056,0,0,1,0,0,0,0,
0.11999999999999999556,1,1,7,0,0,1,1,
0.13000000000000000444,1,1,16,0,0,1,1,
0.14000000000000001332,1,1,2,0,0,1,1,
0.14999999999999999445,1,1,12,0,0,1,1,
0.16000000000000000333,1,1,1,0,0,1,1,
0.17000000000000001221,0,0,1,0,0,0,0,
0.17999999999999999334,1,1,8,0,0,1,1,
0.19000000000000000222,0,0,6,0,0,0,0,
0.20000000000000001110,0,0,17,0,0,0,0,
0.20999999999999999223,1,1,1,0,0,1,1,
0.22000000000000000111,1,1,1,0,0,1,1,
0.23000000000000000999,1,1,2,0,0,1,1,
0.23999999999999999112,0,0,11,0,0,0,0,
0.25000000000000000000,0,0,0,0,0,0,0,
0.26000000000000000888,1,1,4,0,0,1,1,
0.27000000000000001776,1,1,1,0,0,1,1,
0.28000000000000002665,1,1,0,0,0,1,1,
0.28999999999999998002,0,0,3,0,0,0,0,
0.29999999999999998890,0,0,1,0,0,0,0,
0.30999999999999999778,1,1,1,0,0,1,1,
0.32000000000000000666,0,0,0,0,0,0,0,
0.33000000000000001554,0,0,8,0,0,0,0,
0.34000000000000002442,1,1,0,0,0,1,1,
0.35000000000000003331,0,0,5,0,0,0,0,
0.35999999999999998668,0,0,0,0,0,0,0,
0.36999999999999999556,0,0,1,0,0,0,1,
0.38000000000000000444,0,0,6,0,0,0,0,
0.39000000000000001332,0,0,7,0,0,0,0,
0.40000000000000002220,0,0,8,0,0,0,0,
0.41000000000000003109,1,1,7,0,0,1,1,
0.41999999999999998446,0,0,0,0,0,0,0,
0.42999999999999999334,0,0,1,0,0,0,0,
