x,y,newlib,openlibm,mpfr64,mpfr128,
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,
2.225074e-308,-2.225074e-308,4.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,
2.225074e-308,2.225074e-308,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,
-2.225074e-308,-2.225074e-308,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,
-2.225074e-308,2.225074e-308,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,
