0000000000000000,0000000000000000
3f847ae147ae147b,3fb999999999999a
3f947ae147ae147b,3fc21a1851ff630a
3f9eb851eb851eb8,3fc62b9586ad0a22
3fa47ae147ae147b,3fc999999999999a
3fa999999999999a,3fcc9f25c5bfedd9
3faeb851eb851eb8,3fcf5a7cecdb684a
3fb1eb851eb851ec,3fd0eecc87dbfa55
3fb47ae147ae147b,3fd21a1851ff630a
3fb70a3d70a3d70a,3fd3333333333333
3fb999999999999a,3fd43d136248490f
3fbc28f5c28f5c29,3fd539f5433125c3
3fbeb851eb851eb8,3fd62b9586ad0a22
3fc0a3d70a3d70a4,3fd71355d04de190
3fc1eb851eb851ec,3fd7f254dab9cc3b
3fc3333333333333,3fd8c97ef43f7248
3fc47ae147ae147b,3fd999999999999a
3fc5c28f5c28f5c3,3fda634bd77fe1a5
3fc70a3d70a3d70a,3fdb27247aff148f
3fc851eb851eb852,3fdbe59eba3a165a
3fc999999999999a,3fdc9f25c5bfedd9
3fcae147ae147ae1,3fdd54178e8830d5
3fcc28f5c28f5c29,3fde04c6f553bdd8
3fcd70a3d70a3d71,3fdeb17d88be6cf1
3fceb851eb851eb8,3fdf5a7cecdb684a
3fd0000000000000,3fe0000000000000
3fd0a3d70a3d70a4,3fe0511de5a8265f
3fd147ae147ae148,3fe0a0b02501c79a
3fd1eb851eb851ec,3fe0eecc87dbfa55
3fd28f5c28f5c28f,3fe13b86ea20ae5c
3fd3333333333333,3fe186f174f88472
3fd3d70a3d70a3d7,3fe1d11cd1209b03
3fd47ae147ae147b,3fe21a1851ff630a
3fd51eb851eb851f,3fe261f21ab573f3
3fd5c28f5c28f5c3,3fe2a8b73e294fb5
3fd6666666666667,3fe2ee73dadc9b57
3fd70a3d70a3d70a,3fe3333333333333
3fd7ae147ae147ae,3fe376ffc2b649c7
3fd851eb851eb852,3fe3b9e350c59eae
3fd8f5c28f5c28f6,3fe3fbe701157608
3fd999999999999a,3fe43d136248490f
3fda3d70a3d70a3e,3fe47d707ae6659a
3fdae147ae147ae1,3fe4bd05d4eb41e9
3fdb851eb851eb85,3fe4fbda8817b44d
3fdc28f5c28f5c29,3fe539f5433125c3
3fdccccccccccccd,3fe5775c544ff263
3fdd70a3d70a3d71,3fe5b415b05a401c
3fde147ae147ae15,3fe5f026f9c47652
3fdeb851eb851eb8,3fe62b9586ad0a22
3fdf5c28f5c28f5c,3fe6666666666666
3fe0000000000000,3fe6a09e667f3bcd
3fe051eb851eb852,3fe6da4217576971
3fe0a3d70a3d70a4,3fe71355d04de190
3fe0f5c28f5c28f6,3fe74bddb3926321
3fe147ae147ae148,3fe783ddb1a48e38
3fe199999999999a,3fe7bb598c88b4ad
3fe1eb851eb851ec,3fe7f254dab9cc3b
3fe23d70a3d70a3e,3fe828d309df0c4a
3fe28f5c28f5c28f,3fe85ed7614b038c
3fe2e147ae147ae1,3fe8946504494be3
3fe3333333333333,3fe8c97ef43f7248
3fe3851eb851eb85,3fe8fe2812a529ed
3fe3d70a3d70a3d7,3fe9326322d77275
3fe428f5c28f5c29,3fe96632cbc9f77f
3fe47ae147ae147b,3fe999999999999a
3fe4cccccccccccd,3fe9cc99ff02c481
3fe51eb851eb851f,3fe9ff3656bdf346
3fe570a3d70a3d71,3fea3170e4c48745
3fe5c28f5c28f5c3,3fea634bd77fe1a5
3fe6147ae147ae15,3fea94c948e4800f
3fe6666666666667,3feac5eb3f7ab2f8
3fe6b851eb851eb8,3feaf6b3af565e6f
3fe70a3d70a3d70a,3feb27247aff148f
3fe75c28f5c28f5c,3feb573f7449ba9f
3fe7ae147ae147ae,3feb87065d24cee3
3fe8000000000000,3febb67ae8584caa
3fe851eb851eb852,3febe59eba3a165a
3fe8a3d70a3d70a4,3fec14736957b96b
3fe8f5c28f5c28f6,3fec42fa7f164e6c
3fe947ae147ae148,3fec71357849271a
3fe999999999999a,3fec9f25c5bfedd9
3fe9eb851eb851ec,3feccccccccccccd
3fea3d70a3d70a3e,3fecfa2be7c326a0
3fea8f5c28f5c290,3fed2744666f6040
3feae147ae147ae1,3fed54178e8830d5
3feb333333333333,3fed80a69c19e42a
3feb851eb851eb85,3fedacf2c1ebf386
3febd70a3d70a3d7,3fedd8fd29e1516f
3fec28f5c28f5c29,3fee04c6f553bdd8
3fec7ae147ae147b,3fee30513d6a7202
3feccccccccccccd,3fee5b9d136c6d96
3fed1eb851eb851f,3fee86ab810ea912
3fed70a3d70a3d71,3feeb17d88be6cf1
3fedc28f5c28f5c3,3feedc1425e80867
3fee147ae147ae15,3fef06704d3a1e70
3fee666666666667,3fef3092ece5bc36
3feeb851eb851eb8,3fef5a7cecdb684a
3fef0a3d70a3d70a,3fef842f2f055704
3fef5c28f5c28f5c,3fefadaa8f7eed52
3fefae147ae147ae,3fefd6efe4c9b8a5
3ff0000000000000,3ff0000000000000
