x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,
-1.000000e+02,1,1,1,2,2,1,1,1,
-9.800000e+01,0,0,0,0,0,0,0,0,
-9.600000e+01,0,0,0,1,1,0,0,0,
-9.400000e+01,1,1,1,1,1,1,1,1,
-9.200000e+01,1,1,1,0,0,1,1,1,
-9.000000e+01,1,1,1,1,1,1,1,1,
-8.800000e+01,1,1,1,1,1,1,1,1,
-8.600000e+01,1,1,1,1,1,1,1,1,
-8.400000e+01,0,0,0,1,1,0,0,0,
-8.200000e+01,0,0,0,1,1,0,0,0,
-8.000000e+01,1,1,2,2,2,1,1,1,
-7.800000e+01,0,0,0,1,1,0,0,0,
-7.600000e+01,0,0,0,0,0,0,0,0,
-7.400000e+01,0,0,0,0,0,0,0,0,
-7.200000e+01,0,0,0,0,0,0,0,0,
-7.000000e+01,1,1,1,0,0,1,1,1,
-6.800000e+01,2,2,2,2,2,2,2,2,
-6.600000e+01,2,2,2,1,1,2,2,2,
-6.400000e+01,0,0,0,1,1,0,0,0,
-6.200000e+01,0,0,0,0,0,0,0,0,
-6.000000e+01,1,1,1,1,1,1,1,1,
-5.800000e+01,0,0,0,0,0,0,0,0,
-5.600000e+01,0,0,0,0,0,0,0,0,
-5.400000e+01,0,0,0,1,1,0,0,0,
-5.200000e+01,1,1,1,1,1,1,1,1,
-5.000000e+01,0,0,0,1,1,0,0,0,
-4.800000e+01,1,1,1,2,2,1,1,1,
-4.600000e+01,1,1,1,1,1,1,1,1,
-4.400000e+01,0,0,0,1,1,0,0,0,
-4.200000e+01,0,0,0,1,1,0,0,0,
-4.000000e+01,0,0,0,0,0,0,0,0,
-3.800000e+01,0,0,0,0,0,0,0,0,
-3.600000e+01,0,0,0,1,1,0,0,0,
-3.400000e+01,0,0,0,1,1,0,0,0,
-3.200000e+01,0,0,0,0,0,0,0,0,
-3.000000e+01,1,1,1,2,2,1,1,1,
-2.800000e+01,1,1,1,0,0,1,1,1,
-2.600000e+01,1,1,1,0,0,1,1,1,
-2.400000e+01,1,1,1,1,1,1,1,1,
-2.200000e+01,1,1,1,1,1,1,1,1,
-2.000000e+01,0,0,0,1,1,0,0,0,
-1.800000e+01,0,0,0,1,1,0,0,0,
-1.600000e+01,2,2,2,1,1,2,2,2,
-1.400000e+01,1,1,1,1,1,1,1,1,
-1.200000e+01,2,2,2,1,1,2,2,2,
-1.000000e+01,2,2,1,1,1,2,2,2,
-8.000000e+00,1,1,1,2,2,1,1,1,
-6.000000e+00,0,0,0,1,1,0,0,0,
-4.000000e+00,0,0,0,0,0,0,0,0,
-2.000000e+00,0,0,0,1,1,0,0,0,
0.000000e+00,0,0,0,0,0,0,0,0,
2.000000e+00,0,0,0,1,1,0,0,0,
4.000000e+00,0,0,0,0,0,0,0,0,
6.000000e+00,0,0,0,0,0,0,0,0,
8.000000e+00,0,0,0,1,1,0,0,0,
1.000000e+01,0,0,0,1,1,0,0,0,
1.200000e+01,1,1,1,1,1,1,1,1,
1.400000e+01,0,0,0,1,1,0,0,0,
1.600000e+01,0,0,0,0,0,0,0,0,
1.800000e+01,1,1,1,1,1,1,1,1,
2.000000e+01,2,2,2,2,2,2,2,2,
2.200000e+01,0,0,0,1,1,0,0,0,
2.400000e+01,0,0,0,0,0,0,0,0,
2.600000e+01,1,1,2,2,2,1,1,1,
2.800000e+01,1,1,1,1,1,1,1,1,
5.074054e-321,190119059707931373,190119059707931373,4503599627369984,190119059707931373,190119059707931373,4503599627369984,4503599627369984,4503599627369984,
3.200000e+01,0,0,0,0,0,0,0,0,
3.400000e+01,0,0,0,0,0,0,0,0,
3.600000e+01,1,1,1,1,1,1,1,1,
3.800000e+01,0,0,0,0,0,0,0,0,
4.000000e+01,2,2,1,1,1,2,2,2,
4.200000e+01,0,0,0,0,0,0,0,0,
4.400000e+01,1,1,1,0,0,1,1,1,
4.600000e+01,0,0,0,0,0,0,0,0,
4.800000e+01,0,0,0,0,0,0,0,0,
5.000000e+01,0,0,0,0,0,0,0,0,
5.200000e+01,0,0,0,1,1,0,0,0,
5.400000e+01,2,2,2,1,1,2,2,2,
5.600000e+01,0,0,0,0,0,0,0,0,
5.800000e+01,0,0,0,0,0,0,0,0,
5.078995e-321,384949726589828198,384949726589828198,4503599627370496,384949726589828198,384949726589828198,4503599627370496,4503599627370496,4503599627370496,
6.200000e+01,1,1,0,1,1,1,1,1,
6.400000e+01,0,0,0,0,0,0,0,0,
6.600000e+01,0,0,0,1,1,0,0,0,
6.800000e+01,0,0,0,1,1,0,0,0,
7.000000e+01,2,2,2,2,2,2,2,2,
7.200000e+01,2,2,2,2,2,2,2,2,
7.400000e+01,1,1,2,1,1,1,1,1,
7.600000e+01,0,0,0,1,1,0,0,0,
7.800000e+01,1,1,0,0,0,1,1,1,
8.000000e+01,1,1,1,1,1,1,1,1,
8.200000e+01,0,0,0,0,0,0,0,0,
8.400000e+01,0,0,0,1,1,0,0,0,
8.600000e+01,0,0,0,0,0,0,0,0,
8.800000e+01,1,1,1,1,1,1,1,1,
9.000000e+01,2,2,2,1,1,2,2,2,
9.200000e+01,1,1,1,1,1,1,1,1,
9.400000e+01,1,1,1,2,2,1,1,1,
9.600000e+01,1,1,1,1,1,1,1,1,
9.800000e+01,0,0,0,1,1,0,0,0,
1.000000e+02,0,0,0,1,1,0,0,0,
