x,newlib,openlibm,matlab,mpfr64,mpfr128,mathematica,
-2.225074e-308,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,0.000000e+00,
2.225074e-308,0.000000e+00,1.000000e+00,3.147016e-317,1.000000e+00,1.000000e+00,0.000000e+00,
-1.000000e+00,0.000000e+00,1.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,0.000000e+00,
1.000000e+00,0.000000e+00,1.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,0.000000e+00,
1.797693e+308,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,0.000000e+00,
-1.797693e+308,1.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,1.000000e+00,0.000000e+00,
