a^m/a^n=a^(m-n),0X0P+0,0X1.4P+2,0X1P+0,-NAN,0X1P+0,0X0P+0,0X0P+0
a^m/a^n=a^(m-n),0X1P+1,-0X1P+1,0X1P-1,0X1.6A09E667F3BCCP-3,0X1.CP+2,0X1.6A09E667F3BCCP-3,0X1.8P+2
a^m/a^n=a^(m-n),0X1P+1,0X0P+0,0X1P+2,0X1P-4,0X1P+0,0X1P-4,0X1P+0
a^m/a^n=a^(m-n),-0X1P+1,0X1.4P+2,0X1.9P+6,-0X1P-95,0X1P+1,-0X1P-95,0X1P+1
a^m/a^n=a^(m-n),-0X1P+1,0X1.9P+6,-0X1.9P+6,0X1P+200,0X1P+1,0X1P+200,0X1P+0
a^m/a^n=a^(m-n),0X1P+3,0X1P+3,-0X1.999999999999AP-5,0X1.1C0CBEB32BDF8P+24,0X1P+2,0X1.1C0CBEB32BDF8P+24,0X1.8P+1
a^m/a^n=a^(m-n),-0X1.E392010175EE6P-74,-0X1.9P+6,0X1.8P+2,0X1.FFFFFFFFFFFFFP+1023,0X1P+3,0X1.FFFFFFFFFFFFFP+1023,0X1.4P+2
a^m/a^n=a^(m-n),0X1.0F0CF064DD592P+73,0X1.8P+1,0X1.8P+2,0X1.AF5BF109550F2P-220,0X1.2P+3,0X1.AF5BF109550F2P-220,0X1P+1
a^m/a^n=a^(m-n),0X1P-1022,0X1.8P+1,0X1.8P+2,0X1.FFFFFFFFFFFFFP+1023,0X1P+1,0X1.FFFFFFFFFFFFFP+1023,0X1P+0
a^m/a^n=a^(m-n),0X1.FFFFFFFFFFFFFP+1023,0X1.8P+1,0X1.8P+2,0X0P+0,0X1.5P+4,0X0P+0,0X1P+1
