x,y,newlib,openlibm,matlab,maple,mpfr64,mpfr128,mathematica,
1.200000e+01,0.000000e+00,259599082071433024,259599082071433024,4882544099567247168,12866476598490992,259599082071433024,259599082071433024,4887047699194617664,
2.225074e-308,0.000000e+00,4878039255520233815,4878039255520233815,4882542855147604311,12865543283758849,4878039255520233815,4878039255520233815,4882542855147604311,
0.000000e+00,0.000000e+00,9210504609348002961,9210504609348002961,12867427506772845,4315096210916639801,9210504609348002961,9210504609348002961,13813183428520649873,
1.797693e+308,0.000000e+00,0,0,0,0,0,0,0,
2.225074e-308,0.000000e+00,4878041141680948101,4878041141680948101,4882544741308318597,12866957904294563,4878041141680948101,4878041141680948101,4887048340935689093,
