sin^2(x) + cos^2(x) = 1,0.,None,1.,1
sin^2(x) + cos^2(x) = 1,1.5707963267948966,None,1.,1
sin^2(x) + cos^2(x) = 1,1.0471975511965976,None,1.,1
sin^2(x) + cos^2(x) = 1,0.52359877559829882,None,1.,1
sin^2(x) + cos^2(x) = 1,0.78539816339744828,None,1.,1
sin^2(x) + cos^2(x) = 1,0.39269908169872414,None,1.,1
sin^2(x) + cos^2(x) = 1,0.26179938779914941,None,1.,1
sin^2(x) + cos^2(x) = 1,1.e22,None,1.,1
sin^2(x) + cos^2(x) = 1,2.2250738585072014e-308,None,1.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000495095367581212531601925566016196,1
sin^2(x) + cos^2(x) = 1,1.7976931348623157e308,None,0.e1,1
