x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
5.100000e-01,9202201269659160749,9202201269659160749,7107329224005135,9202201269659160750,9202201269659160750,7107329224005135,7107329224005135,
5.200000e-01,9202125310438807613,9202125310438807613,7069349613828565,9202125310438807614,9202125310438807614,7069349613828566,7069349613828566,
5.300000e-01,9202050798149091924,9202050798149091924,7032093468970722,9202050798149091924,9202050798149091924,7032093468970721,7032093468970721,
5.400000e-01,9201977678694332641,9201977678694332641,6995533741591079,9201977678694332641,9201977678694332641,6995533741591079,6995533741591079,
5.500000e-01,9201905900956936445,9201905900956936445,6959644872892982,9201905900956936446,9201905900956936446,6959644872892982,6959644872892982,
5.600000e-01,9201835416582730653,9201835416582730653,6924402685790086,9201835416582730654,9201835416582730654,6924402685790086,6924402685790086,
5.700000e-01,9201660347794026363,9201660347794026363,6889784287072917,9201660347794026364,9201660347794026364,6889784287072917,6889784287072917,
5.800000e-01,9201456249940093027,9201456249940093027,6855767978084027,9201456249940093026,9201456249940093026,6855767978084027,6855767978084027,
5.900000e-01,9201255641109762377,9201255641109762377,6822333173028919,9201255641109762378,9201255641109762378,6822333173028919,6822333173028919,
6.000000e-01,9201058404016504545,9201058404016504545,6789460324152614,9201058404016504546,9201058404016504546,6789460324152614,6789460324152614,
6.100000e-01,9200864427190193983,9200864427190193983,6757130853100853,9200864427190193984,9200864427190193984,6757130853100853,6757130853100853,
6.200000e-01,9200673604598763639,9200673604598763639,6725327087862463,9200673604598763640,9200673604598763640,6725327087862463,6725327087862463,
6.300000e-01,9200485835300130854,9200485835300130854,6694032204756999,9200485835300130855,9200485835300130855,6694032204756999,6694032204756999,
6.400000e-01,9200301023121534179,9200301023121534179,6663230174990887,9200301023121534180,9200301023121534180,6663230174990887,6663230174990887,
6.500000e-01,9200119076363730941,9200119076363730941,6632905715357013,9200119076363730942,9200119076363730942,6632905715357013,6632905715357013,
6.600000e-01,9199939907527777866,9199939907527777866,6603044242698167,9199939907527777866,9199939907527777866,6603044242698167,6603044242698167,
6.700000e-01,9199763433062356934,9199763433062356934,6573631831794679,9199763433062356935,9199763433062356935,6573631831794679,6573631831794679,
6.800000e-01,9199589573129819987,9199589573129819987,6544655176371854,9199589573129819987,9199589573129819987,6544655176371854,6544655176371854,
6.900000e-01,9199418251389312227,9199418251389312227,6516101552953894,9199418251389312228,9199418251389312228,6516101552953894,6516101552953894,
7.000000e-01,9199249394795500061,9199249394795500061,6487958787318533,9199249394795500061,9199249394795500061,6487958787318533,6487958787318533,
7.100000e-01,9199082933411575016,9199082933411575016,6460215223331026,9199082933411575017,9199082933411575017,6460215223331026,6460215223331026,
7.200000e-01,9198918800235335658,9198918800235335658,6432859693957799,9198918800235335658,9198918800235335658,6432859693957799,6432859693957799,
7.300000e-01,9198756931037265027,9198756931037265027,6405881494279361,9198756931037265028,9198756931037265028,6405881494279361,6405881494279361,
