x,openlibm,matlab,crlibm,intel-mkl,
0.000000e+00,0,4503599627370496,4503599627370496,4503599627370496,
0.000000e+00,0,4052485666752632,4052485666752632,4052485666752632,
0.000000e+00,0,3864552105130212,3864552105130212,3864552105130212,
0.000000e+00,0,3719599445536508,3719599445536509,3719599445536508,
0.000000e+00,0,3596764170331065,3596764170331065,3596764170331065,
0.000000e+00,0,3487977536600621,3487977536600621,3487977536600621,
0.000000e+00,0,3389107053889597,3389107053889597,3389107053889597,
0.000000e+00,0,3297700806961874,3297700806961874,3297700806961874,
0.000000e+00,0,3212162925684518,3212162925684519,3212162925684519,
0.000000e+00,0,3131385904284225,3131385904284225,3131385904284225,
0.000000e+00,0,3054563950483528,3054563950483528,3054563950483528,
0.000000e+00,0,2981089071914887,2981089071914887,2981089071914887,
0.000000e+00,0,2910489062900331,2910489062900331,2910489062900331,
0.000000e+00,0,2842388429056701,2842388429056701,2842388429056702,
0.000000e+00,0,2776482663369443,2776482663369443,2776482663369444,
0.000000e+00,0,2712520689756378,2712520689756377,2712520689756378,
0.000000e+00,0,2650292512764275,2650292512764275,2650292512764275,
0.000000e+00,0,2589620302784375,2589620302784375,2589620302784375,
0.000000e+00,0,2530351816498883,2530351816498883,2530351816498883,
0.000000e+00,0,2472355445830746,2472355445830746,2472355445830746,
0.000000e+00,0,2415516428243244,2415516428243244,2415516428243244,
0.000000e+00,0,2359733901733769,2359733901733769,2359733901733769,
0.000000e+00,0,2304918585055825,2304918585055825,2304918585055825,
0.000000e+00,0,2250990928022172,2250990928022172,2250990928022172,
0.000000e+00,0,2197879620247004,2197879620247004,2197879620247004,
0.000000e+00,0,2145520376694350,2145520376694350,2145520376694350,
0.000000e+00,0,2093854939469569,2093854939469569,2093854939469569,
0.000000e+00,0,2042830250323696,2042830250323696,2042830250323696,
0.000000e+00,0,1992397759224237,1992397759224237,1992397759224237,
0.000000e+00,0,1942512842332388,1942512842332388,1942512842332388,
0.000000e+00,0,1853307114606221,1853307114606221,1853307114606221,
0.000000e+00,0,1755486455551880,1755486455551880,1755486455551880,
0.000000e+00,0,1658531147653770,1658531147653770,1658531147653770,
0.000000e+00,0,1562374810431854,1562374810431854,1562374810431854,
0.000000e+00,0,1466955197603679,1466955197603679,1466955197603679,
0.000000e+00,0,1372213723086272,1372213723086272,1372213723086272,
0.000000e+00,0,1278095044480568,1278095044480568,1278095044480568,
0.000000e+00,0,1184546695008748,1184546695008748,1184546695008748,
0.000000e+00,0,1091518756426408,1091518756426408,1091518756426408,
0.000000e+00,0,998963566674747,998963566674747,998963566674747,
0.000000e+00,0,906835457039432,906835457039432,906835457039432,
0.000000e+00,0,815090514393061,815090514393061,815090514393061,
0.000000e+00,0,723686364756147,723686364756147,723686364756147,
0.000000e+00,0,632581974947240,632581974947240,632581974947240,
0.000000e+00,0,541737469529609,541737469529609,541737469529609,
0.000000e+00,0,451113960617864,451113960617864,451113960617864,
0.000000e+00,0,360673388397337,360673388397337,360673388397337,
0.000000e+00,0,270378370442949,270378370442949,270378370442949,
0.000000e+00,0,180192058111467,180192058111467,180192058111467,
0.000000e+00,0,90077998428035,90077998428035,90077998428035,
0.000000e+00,0,0,0,0,
0.000000e+00,0,90077998428034,90077998428034,90077998428034,
0.000000e+00,0,180192058111467,180192058111467,180192058111467,
0.000000e+00,0,270378370442949,270378370442949,270378370442949,
0.000000e+00,0,360673388397337,360673388397337,360673388397337,
0.000000e+00,0,451113960617864,451113960617864,451113960617864,
0.000000e+00,0,541737469529609,541737469529609,541737469529609,
