-0X1.FFFFFFFFFFFFFP-1,-0X1.921FB54442D18P-1
0X1.A827999FCEF32P-2,0X1.921FB54442D18P-2
0X1.BB1FD6B0AC2CAP-2,0X1.A23574D659F8CP-2
0X1.CE5A8DF525427P-2,0X1.B24B3468711FCP-2
0X1.E1DB9A59E3B48P-2,0X1.C260F3FA8847P-2
0X1.F5A7053D63977P-2,0X1.D276B38C9F6EP-2
0X1.04E0850C1DD5CP-1,0X1.E28C731EB695P-2
0X1.0F170D395C357P-1,0X1.F2A232B0CDBC5P-2
0X1.19797117FBCD8P-1,0X1.015BF9217271AP-1
0X1.240A261BD43EEP-1,0X1.0966D8EA7E054P-1
0X1.2ECBC3C4568DP-1,0X1.1171B8B38998CP-1
0X1.39C106600C4E2P-1,0X1.197C987C952C6P-1
0X1.44ECD210B9A8P-1,0X1.21877845A0BFEP-1
0X1.5052361766D11P-1,0X1.2992580EAC536P-1
0X1.5BF47070848DAP-1,0X1.319D37D7B7E7P-1
0X1.67D6F1C9713DP-1,0X1.39A817A0C37A8P-1
0X1.73FD61D9DF546P-1,0X1.41B2F769CF0E2P-1
0X1.806BA42D09968P-1,0X1.49BDD732DAA1AP-1
0X1.8D25DD68454DCP-1,0X1.51C8B6FBE6352P-1
0X1.9A30791E69136P-1,0X1.59D396C4F1C8CP-1
0X1.A7903041B33B6P-1,0X1.61DE768DFD5C4P-1
0X1.B54A10486BF4FP-1,0X1.69E9565708EFEP-1
0X1.C363831B7DAC1P-1,0X1.71F4362014836P-1
0X1.D1E257E9BF005P-1,0X1.79FF15E92016EP-1
0X1.E0CCCCFEC59AP-1,0X1.8209F5B22BAA8P-1
0X1.F0299AC0EEDD2P-1,0X1.8A14D57B373EP-1
0X1.0000000000002P+0,0X1.921FB54442D1AP-1
