exp(a)/exp(b)=exp(a-b),0X0P+0,0X1.4P+2,0X1.B993FE00D5376P-8,0X1.4P+5,0X1.B993FE00D5376P-8,0X1.CP+2
exp(a)/exp(b)=exp(a-b),0X1P+1,-0X1P+1,0X1.B4C902E273A58P+5,0X1.6P+3,0X1.B4C902E273A58P+5,0X1.4P+2
exp(a)/exp(b)=exp(a-b),0X1P+1,0X0P+0,0X1.D8E64B8D4DDADP+2,0X1.4P+2,0X1.D8E64B8D4DDADP+2,0X1P+2
exp(a)/exp(b)=exp(a-b),-0X1P+1,0X1.4P+2,0X1.DE16B9C24A98EP-11,0X1.2P+3,0X1.DE16B9C24A98EP-11,0X1.4P+2
exp(a)/exp(b)=exp(a-b),-0X1P+1,0X1.0F0CF064DD592P+73,0X0P+0,0X1.CP+2,0X0P+0,0X1P+0
exp(a)/exp(b)=exp(a-b),0X1P+3,0X1P+3,0X1P+0,0X1.6P+4,0X1P+0,0X0P+0
exp(a)/exp(b)=exp(a-b),-0X1.E392010175EE6P-74,-0X1.82DB34012B251P-77,0X1.FFFFFFFFFFFFFP-1,0X1.CP+4,0X1.FFFFFFFFFFFFFP-1,0X1P+2
exp(a)/exp(b)=exp(a-b),0X1.0F0CF064DD592P+73,0X1.8P+1,0X1.FFFFFFFFFFFFFP+1023,0X1.8P+2,0X1.FFFFFFFFFFFFFP+1023,0X1P+0
exp(a)/exp(b)=exp(a-b),0X1P-1022,0X1.8P+1,0X1.97DB0CCCEB0AEP-5,0X1.8P+2,0X1.97DB0CCCEB0AEP-5,0X1.4P+2
exp(a)/exp(b)=exp(a-b),0X1.FFFFFFFFFFFFFP+1023,0X1.8P+1,0X1.FFFFFFFFFFFFFP+1023,0X1.4P+2,0X1.FFFFFFFFFFFFFP+1023,0X1P+0
