0X0P+0,0X1P+0,0.02500000000000000138777878078145
-0X0P+0,0X1P+0,0.00100000000000000002081668171172
INF,INF,0.00100000000000000002081668171172
-INF,0X0P+0,0.00000000000000000000000000000000
-NAN,-NAN,0.00000000000000000000000000000000
