x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,mathematica,
6.600000e-01,26341549460218,26341549460218,26341549460218,210732395681752,26341549460218,26341549460218,26341549460218,26341549460218,26341549460218,
6.800000e-01,26965426657732,26965426657732,26965426657732,215723413261867,26965426657731,26965426657731,26965426657732,26965426657732,26965426657732,
7.000000e-01,27656967552044,27656967552044,27656967552044,221255740416364,27656967552044,27656967552044,27656967552044,27656967552044,27656967552044,
7.200000e-01,28427543828029,28427543828029,28427543828029,227420350624235,28427543828028,28427543828028,28427543828029,28427543828029,28427543828029,
7.400000e-01,29291451416558,29291451416558,29291451416558,234331611332474,29291451416558,29291451416558,29291451416558,29291451416558,29291451416558,
7.600000e-01,30266948374948,30266948374948,30266948374948,242135586999570,30266948374948,30266948374948,30266948374948,30266948374948,30266948374948,
7.800000e-01,31377781784245,31377781784245,31377781784245,251022254273980,31377781784245,31377781784245,31377781784245,31377781784245,31377781784245,
8.000000e-01,32655501586062,32655501586062,32655501586062,261244012688502,32655501586062,32655501586062,32655501586062,32655501586062,32655501586062,
8.200000e-01,34143090578088,34143090578088,34143090578088,273144724624699,34143090578087,34143090578087,34143090578088,34143090578088,34143090578088,
8.400000e-01,35900898400129,35900898400129,35900898400129,287207187201048,35900898400129,35900898400129,35900898400129,35900898400129,35900898400129,
8.600000e-01,19008418061635,19008418061635,19008418061635,164302623207085,19008418061634,19008418061634,19008418061635,19008418061635,19008418061635,
8.800000e-01,20312499317273,20312499317273,20312499317273,162499994538173,20312499317273,20312499317273,20312499317273,20312499317273,20312499317273,
9.000000e-01,21971218380228,21971218380228,21971218380228,175769747041821,21971218380228,21971218380228,21971218380228,21971218380228,21971218380228,
9.200000e-01,24174807495654,24174807495654,24174807495654,193398459965231,24174807495654,24174807495654,24174807495654,24174807495654,24174807495654,
9.400000e-01,27296727823432,27296727823432,27296727823432,218373822587457,27296727823431,27296727823431,27296727823432,27296727823432,27296727823432,
9.600000e-01,32211702131934,32211702131934,32211702131933,257693617055474,32211702131933,32211702131933,32211702131934,32211702131934,32211702131933,
9.800000e-01,41763013693871,41763013693871,41763013693871,334104109550968,41763013693871,41763013693871,41763013693871,41763013693871,41763013693871,
1.000000e+00,100247546803970,100247546803970,100247546803970,801980374431759,100247546803970,100247546803970,100247546803970,100247546803970,100247546803970,
