0X0P+0,0X0P+0,0X1P+0
0X1.47AE147AE147BP-7,0X1.9999999999999P-4,0X1P+0
0X1.47AE147AE147BP-6,0X1.21A1851FF630AP-3,0X1P+0
0X1.EB851EB851EB8P-6,0X1.62B9586AD0A21P-3,0X0P+0
0X1.47AE147AE147BP-5,0X1.9999999999999P-3,0X0P+0
0X1.999999999999AP-5,0X1.C9F25C5BFEDD9P-3,0X1P+0
0X1.EB851EB851EB8P-5,0X1.F5A7CECDB684AP-3,0X0P+0
0X1.1EB851EB851ECP-4,0X1.0EECC87DBFA54P-2,0X0P+0
0X1.47AE147AE147BP-4,0X1.21A1851FF630AP-2,0X1P+0
0X1.70A3D70A3D70AP-4,0X1.3333333333333P-2,0X0P+0
0X1.999999999999AP-4,0X1.43D136248490FP-2,0X0P+0
0X1.C28F5C28F5C29P-4,0X1.539F5433125C3P-2,0X1P+0
0X1.EB851EB851EB8P-4,0X1.62B9586AD0A21P-2,0X1P+0
0X1.0A3D70A3D70A4P-3,0X1.71355D04DE18FP-2,0X0P+0
0X1.1EB851EB851ECP-3,0X1.7F254DAB9CC3AP-2,0X0P+0
0X1.3333333333333P-3,0X1.8C97EF43F7247P-2,0X1P+0
0X1.47AE147AE147BP-3,0X1.9999999999999P-2,0X0P+0
0X1.5C28F5C28F5C3P-3,0X1.A634BD77FE1A5P-2,0X0P+0
0X1.70A3D70A3D70AP-3,0X1.B27247AFF148EP-2,0X0P+0
0X1.851EB851EB852P-3,0X1.BE59EBA3A165AP-2,0X1P+0
0X1.999999999999AP-3,0X1.C9F25C5BFEDD9P-2,0X0P+0
0X1.AE147AE147AE1P-3,0X1.D54178E8830D4P-2,0X0P+0
0X1.C28F5C28F5C29P-3,0X1.E04C6F553BDD7P-2,0X0P+0
0X1.D70A3D70A3D71P-3,0X1.EB17D88BE6CFP-2,0X1P+0
0X1.EB851EB851EB8P-3,0X1.F5A7CECDB684AP-2,0X0P+0
0X1P-2,0X1P-1,0X0P+0
