x,openlibm,maple,mpfr64,mpfr128,intel-mkl,mathematica,
0.00000000000000000000,0,0,0,0,0,0,
0.01000000000000000021,0,0,1,1,0,0,
0.02000000000000000042,0,18,0,0,0,0,
0.02999999999999999889,0,26,1,1,0,0,
0.04000000000000000083,0,0,1,1,0,0,
0.05000000000000000278,0,1,0,0,0,0,
0.05999999999999999778,0,29,0,0,0,0,
0.07000000000000000666,0,1,1,1,0,0,
0.08000000000000000167,0,0,0,0,0,0,
0.08999999999999999667,0,0,0,0,0,0,
0.10000000000000000555,0,17,0,0,0,0,
0.11000000000000000056,0,1,0,0,0,0,
0.11999999999999999556,0,8,1,1,0,0,
0.13000000000000000444,0,17,1,1,0,0,
0.14000000000000001332,0,3,1,1,0,0,
0.14999999999999999445,0,13,1,1,0,0,
0.16000000000000000333,0,0,1,1,0,0,
0.17000000000000001221,0,1,0,0,0,0,
0.17999999999999999334,0,9,1,1,0,0,
0.19000000000000000222,0,6,0,0,0,0,
0.20000000000000001110,0,17,0,0,0,0,
0.20999999999999999223,0,0,1,1,0,0,
0.22000000000000000111,0,0,1,1,0,0,
0.23000000000000000999,0,1,1,1,0,0,
0.23999999999999999112,0,11,0,0,0,0,
0.25000000000000000000,0,0,0,0,0,0,
0.26000000000000000888,0,5,1,1,0,0,
0.27000000000000001776,0,2,1,1,0,0,
0.28000000000000002665,0,1,1,1,0,0,
0.28999999999999998002,0,3,0,0,0,0,
0.29999999999999998890,0,1,0,0,0,0,
0.30999999999999999778,0,2,1,1,0,0,
0.32000000000000000666,0,0,0,0,0,0,
0.33000000000000001554,0,8,0,0,0,0,
0.34000000000000002442,0,1,1,1,0,0,
0.35000000000000003331,0,5,0,0,0,0,
0.35999999999999998668,0,0,0,0,0,0,
0.36999999999999999556,0,1,0,0,0,1,
0.38000000000000000444,0,6,0,0,0,0,
0.39000000000000001332,0,7,0,0,0,0,
0.40000000000000002220,0,8,0,0,0,0,
0.41000000000000003109,0,8,1,1,0,0,
0.41999999999999998446,0,0,0,0,0,0,
0.42999999999999999334,0,1,0,0,0,0,
0.44000000000000000222,0,1,0,0,0,0,
0.45000000000000001110,0,8,1,1,0,0,
0.46000000000000001998,0,7,0,0,0,0,
0.47000000000000002887,0,4,1,1,0,0,
0.47999999999999998224,0,8,1,1,0,0,
0.48999999999999999112,0,0,0,0,0,0,
0.50000000000000000000,0,5,1,1,0,0,
0.51000000000000000888,0,0,0,0,0,0,
0.52000000000000001776,0,8,1,1,0,0,
0.53000000000000002665,0,7,0,0,0,0,
0.54000000000000003553,0,4,0,0,0,0,
0.55000000000000004441,0,3,0,0,0,0,
0.56000000000000005329,0,3,1,1,0,0,
0.57000000000000006217,0,0,1,1,0,0,
0.57999999999999996003,0,7,0,0,0,0,
0.58999999999999996891,0,8,1,1,0,0,
0.59999999999999997780,0,4605152166087193160,1,1,0,2393893549440468559,
0.60999999999999998668,0,4605210067051293165,0,0,0,2304821572791516181,
0.61999999999999999556,0,57428279445644,1,1,0,57428279445640,
0.63000000000000000444,0,56966985712907,1,1,0,56966985712906,
0.64000000000000001332,0,56516632617501,1,1,0,56516632617499,
0.65000000000000002220,0,56076794407655,1,1,0,56076794407655,
0.66000000000000003109,0,55647068171973,0,0,0,55647068171973,
0.67000000000000003997,0,55227072287743,1,1,0,55227072287743,
0.68000000000000004885,0,54816444996193,0,0,0,54816444996192,
0.69000000000000005773,0,54414843092587,1,1,0,54414843092586,
0.70000000000000006661,0,54021940720366,0,0,0,54021940720361,
0.70999999999999996447,0,53637428259708,0,0,0,53637428259703,
0.71999999999999997335,0,53261011301927,1,1,0,53261011301920,
0.72999999999999998224,0,52892409701904,0,0,0,52892409701904,
0.73999999999999999112,0,52531356701765,0,0,0,52531356701764,
0.75000000000000000000,0,52177598119373,0,0,0,52177598119367,
0.76000000000000000888,0,51830891596213,0,0,0,51830891596208,
0.77000000000000001776,0,51491005899543,1,1,0,51491005899537,
0.78000000000000002665,0,51157720274179,0,0,0,51157720274177,
0.79000000000000003553,0,50830823839924,1,1,0,50830823839918,
0.80000000000000004441,0,50510115030727,0,0,0,50510115030719,
0.81000000000000005329,0,50195401072380,0,0,0,50195401072372,
0.82000000000000006217,0,49886497495507,1,1,0,49886497495507,
0.83000000000000007105,0,49583227681191,0,0,0,49583227681184,
0.83999999999999996891,0,49285422436509,1,1,0,49285422436501,
0.84999999999999997780,0,48992919597909,1,1,0,48992919597909,
0.85999999999999998668,0,48705563660131,0,0,0,48705563660124,
0.86999999999999999556,0,48423205428716,0,0,0,48423205428713,
0.88000000000000000444,0,48145701694573,1,1,0,48145701694569,
0.89000000000000001332,0,47872914928691,0,0,0,47872914928682,
0.90000000000000002220,0,47604712995735,0,0,0,47604712995732,
0.91000000000000003109,0,47340968885123,0,0,0,47340968885116,
0.92000000000000003997,0,47081560458213,1,1,0,47081560458207,
0.93000000000000004885,0,46826370210686,1,1,0,46826370210678,
0.94000000000000005773,0,46575285048846,1,1,0,46575285048841,
0.95000000000000006661,0,46328196079054,1,1,0,46328196079046,
0.95999999999999996447,0,46084998409240,0,0,0,46084998409236,
0.96999999999999997335,0,45845590961852,1,1,0,45845590961850,
0.97999999999999998224,0,45609876297298,1,1,1,45609876297294,
0.98999999999999999112,0,45377760447320,1,1,0,45377760447316,
1.00000000000000000000,0,45149152757595,0,0,0,45149152757595,
