0X0P+0,-INF,0X1P+0
0X1.8P-1,-0X1.FFBFC2BBC7804P-4,0X1.CP+2
0X1.851EB851EB852P-1,-0X1.E83001B481F01P-4,0X1.CP+2
0X1.8A3D70A3D70A4P-1,-0X1.D0EF19F2D471EP-4,0X1.8P+2
0X1.8F5C28F5C28F6P-1,-0X1.B9FB028819B1CP-4,0X1P+4
0X1.947AE147AE148P-1,-0X1.A351C66E7691CP-4,0X1.CP+2
0X1.999999999999AP-1,-0X1.8CF183886480BP-4,0X1.CP+2
0X1.9EB851EB851ECP-1,-0X1.76D869B02A02EP-4,0X1.CP+2
0X1.A3D70A3D70A3EP-1,-0X1.6104B9D61527FP-4,0X1P+3
0X1.A8F5C28F5C29P-1,-0X1.4B74C52C65272P-4,0X1.CP+2
0X1.AE147AE147AE1P-1,-0X1.3626EC5FE761DP-4,0X1.CP+2
0X1.B333333333333P-1,-0X1.21199EDC60E8AP-4,0X1.CP+2
0X1.B851EB851EB85P-1,-0X1.0C4B5A1BF08AEP-4,0X1.CP+2
0X1.BD70A3D70A3D7P-1,-0X1.EF7552014D2D8P-5,0X1.CP+2
0X1.C28F5C28F5C29P-1,-0X1.C6CC466F3E248P-5,0X1.CP+2
0X1.C7AE147AE147BP-1,-0X1.9E98D949F2B42P-5,0X1.8P+2
0X1.CCCCCCCCCCCCDP-1,-0X1.76D869B02A02EP-5,0X1.CP+2
0X1.D1EB851EB851FP-1,-0X1.4F886D0F0F225P-5,0X1.CP+2
0X1.D70A3D70A3D71P-1,-0X1.28A66E2893029P-5,0X1.CP+2
0X1.DC28F5C28F5C3P-1,-0X1.02300C274534FP-5,0X1.CP+2
0X1.E147AE147AE15P-1,-0X1.B845F37D9B89BP-6,0X1.CP+2
0X1.E666666666667P-1,-0X1.6CF9F8B075BCAP-6,0X1.CP+2
0X1.EB851EB851EB8P-1,-0X1.2277D692C8089P-6,0X1.8P+2
0X1.F0A3D70A3D70AP-1,-0X1.B176BC5AC98D2P-7,0X1.CP+2
0X1.F5C28F5C28F5CP-1,-0X1.1F8102FAAA092P-7,0X1.CP+2
0X1.FAE147AE147AEP-1,-0X1.1E0D4874F92F3P-8,0X1.CP+2
0X1P+0,0X0P+0,0X0P+0
