x,y,openlibm,matlab,maple,mpfr64,mpfr128,intel-mkl,mathematica,
-1.000000e+00,-1.000000e+00,0,0,9226300258381192329,1,1,0,0,
-8.000000e-01,-1.000000e+00,0,0,9225949889976543266,0,0,0,0,
-6.000000e-01,-1.000000e+00,0,0,9225527837136063410,1,1,0,0,
-4.000000e-01,-1.000000e+00,0,0,9225163411638553430,1,1,0,0,
-2.000000e-01,-1.000000e+00,0,0,9224454208761613458,0,0,0,0,
0.000000e+00,-1.000000e+00,0,0,4614256656552045848,0,0,0,0,
2.000000e-01,-1.000000e+00,0,0,4613812161267153591,0,0,0,0,
4.000000e-01,-1.000000e+00,0,0,4613399832362958176,0,0,0,0,
6.000000e-01,-1.000000e+00,0,0,4613039740022024672,1,1,0,0,
8.000000e-01,-1.000000e+00,0,0,4612737275024061044,1,1,0,0,
1.000000e+00,-1.000000e+00,0,0,4612488097114038738,0,0,0,0,
-1.000000e+00,-8.000000e-01,0,0,4612238919204016433,0,0,0,0,
-8.000000e-01,-8.000000e-01,0,0,4612488097114038738,1,1,0,0,
-6.000000e-01,-8.000000e-01,0,0,4612807620875158880,1,1,0,0,
-4.000000e-01,-8.000000e-01,0,1,4613212614952482223,0,0,0,0,
-2.000000e-01,-8.000000e-01,0,1,4613705013644059915,0,0,0,0,
0.000000e+00,-8.000000e-01,0,0,4614256656552045848,0,0,0,0,
2.000000e-01,-8.000000e-01,0,0,4613705013644059914,1,1,0,0,
4.000000e-01,-8.000000e-01,0,0,4613212614952482222,0,0,0,0,
6.000000e-01,-8.000000e-01,0,0,4612807620875158880,1,1,0,0,
8.000000e-01,-8.000000e-01,0,0,4612488097114038738,0,0,0,0,
1.000000e+00,-8.000000e-01,0,0,4612238919204016433,1,1,0,0,
-1.000000e+00,-6.000000e-01,0,0,4611936454206052804,1,1,0,0,
-8.000000e-01,-6.000000e-01,0,0,4612168573352918596,1,1,0,0,
-6.000000e-01,-6.000000e-01,0,0,4612488097114038738,1,1,0,0,
-4.000000e-01,-6.000000e-01,0,0,4612932592398930995,1,1,0,0,
-2.000000e-01,-6.000000e-01,0,0,4613532138713602364,1,1,0,0,
0.000000e+00,-6.000000e-01,0,0,4614256656552045848,0,0,0,0,
2.000000e-01,-6.000000e-01,0,0,4613532138713602364,1,1,0,0,
4.000000e-01,-6.000000e-01,0,1,4612932592398930995,1,1,1,0,
6.000000e-01,-6.000000e-01,0,0,4612488097114038738,1,1,0,0,
8.000000e-01,-6.000000e-01,0,0,4612168573352918596,0,0,0,0,
1.000000e+00,-6.000000e-01,0,0,4611936454206052804,0,0,0,0,
-1.000000e+00,-4.000000e-01,0,0,4611466705302850696,0,0,0,0,
-8.000000e-01,-4.000000e-01,0,0,4611763579275595254,0,0,0,0,
-6.000000e-01,-4.000000e-01,0,0,4612043601829146481,1,1,0,0,
-4.000000e-01,-4.000000e-01,0,0,4612488097114038738,1,1,0,0,
-2.000000e-01,-4.000000e-01,0,0,4613212614952482222,1,1,0,0,
0.000000e+00,-4.000000e-01,0,0,4614256656552045848,0,0,0,0,
2.000000e-01,-4.000000e-01,0,0,4613212614952482221,0,0,0,0,
4.000000e-01,-4.000000e-01,0,0,4612488097114038738,1,1,0,0,
6.000000e-01,-4.000000e-01,0,0,4612043601829146481,0,0,0,0,
8.000000e-01,-4.000000e-01,0,0,4611763579275595254,1,1,0,0,
1.000000e+00,-4.000000e-01,0,0,4611466705302850696,1,1,0,0,
-1.000000e+00,-2.000000e-01,0,0,4610642047494459866,0,0,0,0,
-8.000000e-01,-2.000000e-01,0,0,4610856342740647220,0,0,0,0,
-6.000000e-01,-2.000000e-01,0,1,4611202092601562320,1,1,0,0,
-4.000000e-01,-2.000000e-01,0,0,4611763579275595254,1,1,0,0,
-2.000000e-01,-2.000000e-01,0,0,4612488097114038738,1,1,0,0,
0.000000e+00,-2.000000e-01,0,0,4614256656552045848,0,0,0,0,
2.000000e-01,-2.000000e-01,0,0,4612488097114038737,1,1,0,0,
4.000000e-01,-2.000000e-01,0,0,4611763579275595254,1,1,0,0,
6.000000e-01,-2.000000e-01,0,1,4611202092601562320,0,0,0,0,
8.000000e-01,-2.000000e-01,0,0,4610856342740647220,1,1,0,0,
