x,y,openlibm,matlab,maple,mpfr64,mpfr128,intel-mkl,mathematica,
1.000000e+00,-2.000000e-01,0,0,4610642047494459866,1,1,0,0,
-1.000000e+00,0.000000e+00,0,0,4609753056924675352,1,1,0,0,
-8.000000e-01,0.000000e+00,0,0,4609753056924675352,1,1,0,0,
-6.000000e-01,0.000000e+00,0,0,4609753056924675352,1,1,0,0,
-4.000000e-01,0.000000e+00,0,0,4609753056924675352,1,1,0,0,
-2.000000e-01,0.000000e+00,0,0,4609753056924675352,1,1,0,0,
0.000000e+00,0.000000e+00,0,0,0,0,0,0,not_finite,
2.000000e-01,0.000000e+00,0,0,4609753056924675352,0,0,0,0,
4.000000e-01,0.000000e+00,0,0,4609753056924675352,0,0,0,0,
6.000000e-01,0.000000e+00,0,0,4609753056924675352,0,0,0,0,
8.000000e-01,0.000000e+00,0,0,4609753056924675352,0,0,0,0,
1.000000e+00,0.000000e+00,0,0,4609753056924675352,0,0,0,0,
-1.000000e+00,2.000000e-01,0,0,4608864066354890838,1,1,0,0,
-8.000000e-01,2.000000e-01,0,0,4608649771108703484,0,0,0,0,
-6.000000e-01,2.000000e-01,0,0,4608304021247788383,0,0,0,0,
-4.000000e-01,2.000000e-01,0,0,4607664973725548098,1,1,0,0,
-2.000000e-01,2.000000e-01,0,0,4605249457297304851,1,1,0,0,
0.000000e+00,2.000000e-01,0,0,0,0,0,0,0,
2.000000e-01,2.000000e-01,0,0,4605249457297304856,0,0,0,0,
4.000000e-01,2.000000e-01,0,0,4607664973725548099,0,0,0,0,
6.000000e-01,2.000000e-01,0,0,4608304021247788383,1,1,0,0,
8.000000e-01,2.000000e-01,0,0,4608649771108703484,1,1,0,0,
1.000000e+00,2.000000e-01,0,0,4608864066354890838,0,0,0,0,
-1.000000e+00,4.000000e-01,0,0,4608039408546500008,0,0,0,0,
-8.000000e-01,4.000000e-01,0,0,4607664973725548100,0,0,0,0,
-6.000000e-01,4.000000e-01,0,0,4607027438436873882,0,0,0,0,
-4.000000e-01,4.000000e-01,0,0,4605249457297304854,0,0,0,0,
-2.000000e-01,4.000000e-01,0,0,4602023952714414923,1,1,0,1,
0.000000e+00,4.000000e-01,0,0,0,0,0,0,0,
2.000000e-01,4.000000e-01,0,0,4602023952714414931,0,0,0,1,
4.000000e-01,4.000000e-01,0,0,4605249457297304856,0,0,0,0,
6.000000e-01,4.000000e-01,0,1,4607027438436873882,0,0,0,0,
8.000000e-01,4.000000e-01,0,0,4607664973725548100,1,1,0,0,
1.000000e+00,4.000000e-01,0,0,4608039408546500008,1,1,0,0,
-1.000000e+00,6.000000e-01,0,0,4607319223864633000,0,0,0,0,
-8.000000e-01,6.000000e-01,0,0,4606527552341785423,1,1,0,0,
-6.000000e-01,6.000000e-01,0,0,4605249457297304855,1,1,0,0,
-4.000000e-01,6.000000e-01,0,0,4603471476157735828,0,0,0,0,
-2.000000e-01,6.000000e-01,0,0,4599467762625453791,1,1,0,0,
0.000000e+00,6.000000e-01,0,0,0,0,0,0,0,
2.000000e-01,6.000000e-01,0,0,4599467762625453797,0,0,0,0,
4.000000e-01,6.000000e-01,0,0,4603471476157735830,0,0,0,0,
6.000000e-01,6.000000e-01,0,0,4605249457297304856,0,0,0,0,
8.000000e-01,6.000000e-01,0,0,4606527552341785423,0,0,0,0,
1.000000e+00,6.000000e-01,0,0,4607319223864633000,1,1,0,0,
-1.000000e+00,8.000000e-01,0,0,4606246168937394078,1,1,0,0,
-8.000000e-01,8.000000e-01,0,0,4605249457297304856,1,1,0,0,
-6.000000e-01,8.000000e-01,0,1,4603971362252824289,0,0,0,0,
-4.000000e-01,8.000000e-01,0,1,4602023952714414925,1,1,0,0,
-2.000000e-01,8.000000e-01,0,1,4597994306818310363,1,1,0,0,
0.000000e+00,8.000000e-01,0,0,0,0,0,0,0,
2.000000e-01,8.000000e-01,0,1,4597994306818310372,0,0,0,1,
4.000000e-01,8.000000e-01,0,0,4602023952714414929,0,0,0,0,
6.000000e-01,8.000000e-01,0,0,4603971362252824290,1,1,0,0,
8.000000e-01,8.000000e-01,0,0,4605249457297304856,0,0,0,0,
1.000000e+00,8.000000e-01,0,0,4606246168937394078,0,0,0,0,
-1.000000e+00,1.000000e+00,0,0,4605249457297304856,1,1,0,0,
-8.000000e-01,1.000000e+00,0,0,4604252745657215635,0,0,1,0,
-6.000000e-01,1.000000e+00,0,0,4603042885665361121,0,0,0,0,
-4.000000e-01,1.000000e+00,0,0,4600526213430607294,1,1,0,0,
-2.000000e-01,1.000000e+00,0,0,4596279944848811530,0,0,0,0,
0.000000e+00,1.000000e+00,0,0,0,0,0,0,0,
2.000000e-01,1.000000e+00,0,0,4596279944848811538,1,1,0,0,
4.000000e-01,1.000000e+00,0,0,4600526213430607298,1,1,0,0,
6.000000e-01,1.000000e+00,0,0,4603042885665361122,1,1,0,0,
8.000000e-01,1.000000e+00,0,0,4604252745657215635,1,1,1,0,
1.000000e+00,1.000000e+00,0,0,4605249457297304856,0,0,0,0,
