identity,x,y,newlib,openlibm,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
exp(a)/exp(b)=exp(a-b),0.00000000000000000000,            5.000000,0,0,0,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),2.00000000000000000000,           -2.000000,0,0,0,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),2.00000000000000000000,            0.000000,0,0,0,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),-2.00000000000000000000,            5.000000,1,1,0,0,1,1,1,0,
exp(a)/exp(b)=exp(a-b),-2.00000000000000000000,10000000000000000000000.000000,0,0,0,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),8.00000000000000000000,            8.000000,0,0,0,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),-0.00000000000000000000,           -0.000000,0,0,1,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),10000000000000000000000.00000000000000000000,            3.000000,not_finite,not_finite,0,0,not_finite,not_finite,not_finite,not_finite,
exp(a)/exp(b)=exp(a-b),0.00000000000000000000,            3.000000,0,0,0,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000000000000000,            3.000000,not_finite,not_finite,0,0,not_finite,not_finite,not_finite,not_finite,
