identity,x,y,newlib,openlibm,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
sin^2(x)+cos^2(x)=1,0.00000000000000000000,                -nan,0,0,0,0,0,0,0,0,
sin^2(x)+cos^2(x)=1,1.57079632679489655800,                -nan,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,1.04719755119659763132,                -nan,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,0.52359877559829881566,                -nan,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,0.78539816339744827900,                -nan,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,0.39269908169872413950,                -nan,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,0.26179938779914940783,                -nan,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,10000000000000000000000.00000000000000000000,                -nan,0,0,0,0,0,0,0,0,
sin^2(x)+cos^2(x)=1,0.00000000000000000000,                -nan,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000000000000000,                -nan,0,0,0,0,0,0,0,4607182418800017408,
