x,y,newlib,openlibm,matlab,mpfr64,mpfr128,intel-mkl,mathematica,
0.000000e+00,0.000000e+00,4598387778419258213,4598387778419258213,11365278505417139,4598387778419258213,4598387778419258213,4598387778419258213,18446744073709551615,
2.225074e-308,-2.225074e-308,3240342885936848,3240342885936848,9214497211525406746,3240342885936848,3240342885936848,3240342885936848,9214497211525406746,
2.225074e-308,2.225074e-308,2482388841076656,2482388841076656,6524810413664336,2482388841076656,2482388841076656,2482388841076656,2482388841076656,
-2.225074e-308,-2.225074e-308,2229737492789927,2229737492789927,9222746456735287549,2229737492789928,2229737492789928,2229737492789927,2229737492789927,
-2.225074e-308,2.225074e-308,9197998721105645142,9197998721105645142,19738833305698452,9197998721105645143,9197998721105645143,9197998721105645142,19738833305698452,
