x,newlib,openlibm,mpfr64,mpfr128,crlibm,
1.000000e+00,1.000000e+00,1.000000e+00,3.000000e+00,5.000000e+00,2.000000e+00,
2.718282e+00,0.000000e+00,0.000000e+00,1.000000e+01,1.300000e+01,1.000000e+00,
2.718282e+00,0.000000e+00,0.000000e+00,8.000000e+00,1.100000e+01,0.000000e+00,
