-0X1P+0,-0X1P+0,-0X1.2D97C7F3321D3P+1,0X1P+1
-0X1.999999999999AP-1,-0X1P+0,-0X1.3BC1CC0033274P+1,0X1.1P+4
-0X1.3333333333333P-1,-0X1P+0,-0X1.4CF33DEC5E9E1P+1,0X1.8P+3
-0X1.9999999999998P-2,-0X1P+0,-0X1.616B466D73D61P+1,0X1.4P+3
-0X1.9999999999998P-3,-0X1P+0,-0X1.78DB734B4BAB8P+1,0X1.4P+3
0X0P+0,-0X1P+0,0X1.921FB54442D18P+1,0X0P+0
0X1.99999999999AP-3,-0X1P+0,0X1.78DB734B4BAB7P+1,0X1.2P+3
0X1.999999999999CP-2,-0X1P+0,0X1.616B466D73D6P+1,0X1.6P+3
0X1.3333333333334P-1,-0X1P+0,0X1.4CF33DEC5E9DFP+1,0X1.8P+3
0X1.999999999999AP-1,-0X1P+0,0X1.3BC1CC0033273P+1,0X1.CP+3
0X1P+0,-0X1P+0,0X1.2D97C7F3321D2P+1,0X1P+0
-0X1P+0,-0X1.999999999999AP-1,-0X1.1F6DC3E631131P+1,0X1.AP+3
-0X1.999999999999AP-1,-0X1.999999999999AP-1,-0X1.2D97C7F3321D3P+1,0X0P+0
-0X1.3333333333333P-1,-0X1.999999999999AP-1,-0X1.3FC176B7A8561P+1,0X1.8P+3
-0X1.9999999999998P-2,-0X1.999999999999AP-1,-0X1.56C6E7397F5AFP+1,0X1.6P+3
-0X1.9999999999998P-3,-0X1.999999999999AP-1,-0X1.72C43F4B1650BP+1,0X1.4P+3
0X0P+0,-0X1.999999999999AP-1,0X1.921FB54442D18P+1,0X0P+0
0X1.99999999999AP-3,-0X1.999999999999AP-1,0X1.72C43F4B16509P+1,0X1.4P+2
0X1.999999999999CP-2,-0X1.999999999999AP-1,0X1.56C6E7397F5AEP+1,0X1.AP+3
0X1.3333333333334P-1,-0X1.999999999999AP-1,0X1.3FC176B7A855FP+1,0X1.8P+3
0X1.999999999999AP-1,-0X1.999999999999AP-1,0X1.2D97C7F3321D2P+1,0X1P+0
0X1P+0,-0X1.999999999999AP-1,0X1.1F6DC3E63113P+1,0X1.AP+3
-0X1P+0,-0X1.3333333333333P-1,-0X1.0E3C51FA059C5P+1,0X1.8P+3
-0X1.999999999999AP-1,-0X1.3333333333333P-1,-0X1.1B6E192EBBE45P+1,0X1.8P+3
-0X1.3333333333333P-1,-0X1.3333333333333P-1,-0X1.2D97C7F3321D3P+1,0X0P+0
-0X1.9999999999998P-2,-0X1.3333333333333P-1,-0X1.46DC09EC29434P+1,0X1.8P+3
-0X1.9999999999998P-3,-0X1.3333333333333P-1,-0X1.68F095FDF593DP+1,0X1.4P+3
0X0P+0,-0X1.3333333333333P-1,0X1.921FB54442D18P+1,0X1P+0
0X1.99999999999AP-3,-0X1.3333333333333P-1,0X1.68F095FDF593BP+1,0X1.4P+3
0X1.999999999999CP-2,-0X1.3333333333333P-1,0X1.46DC09EC29432P+1,0X1P+3
0X1.3333333333334P-1,-0X1.3333333333333P-1,0X1.2D97C7F3321D1P+1,0X1.CP+3
0X1.999999999999AP-1,-0X1.3333333333333P-1,0X1.1B6E192EBBE44P+1,0X1.8P+3
0X1P+0,-0X1.3333333333333P-1,0X1.0E3C51FA059C4P+1,0X1.8P+3
-0X1P+0,-0X1.9999999999998P-2,-0X1.F38892F1E0C88P+0,0X1.6P+3
-0X1.999999999999AP-1,-0X1.9999999999998P-2,-0X1.0468A8ACE4DF6P+1,0X1.6P+3
-0X1.3333333333333P-1,-0X1.9999999999998P-2,-0X1.145385FA3AF72P+1,0X1.8P+3
-0X1.9999999999998P-2,-0X1.9999999999998P-2,-0X1.2D97C7F3321D3P+1,0X0P+0
-0X1.9999999999998P-3,-0X1.9999999999998P-2,-0X1.56C6E7397F5AFP+1,0X1.4P+2
0X0P+0,-0X1.9999999999998P-2,0X1.921FB54442D18P+1,0X0P+0
0X1.99999999999AP-3,-0X1.9999999999998P-2,0X1.56C6E7397F5ADP+1,0X1.CP+2
0X1.999999999999CP-2,-0X1.9999999999998P-2,0X1.2D97C7F3321D1P+1,0X1.CP+3
0X1.3333333333334P-1,-0X1.9999999999998P-2,0X1.145385FA3AF71P+1,0X1.8P+3
0X1.999999999999AP-1,-0X1.9999999999998P-2,0X1.0468A8ACE4DF5P+1,0X1.4P+3
0X1P+0,-0X1.9999999999998P-2,0X1.F38892F1E0C87P+0,0X1.4P+3
-0X1P+0,-0X1.9999999999998P-3,-0X1.C4A83936311DAP+0,0X1.2P+3
-0X1.999999999999AP-1,-0X1.9999999999998P-3,-0X1.D0D6A1369BD34P+0,0X1.4P+3
-0X1.3333333333333P-1,-0X1.9999999999998P-3,-0X1.E47DF3D0DD4D1P+0,0X1.6P+3
-0X1.9999999999998P-2,-0X1.9999999999998P-3,-0X1.0468A8ACE4DF7P+1,0X1.8P+2
-0X1.9999999999998P-3,-0X1.9999999999998P-3,-0X1.2D97C7F3321D3P+1,0X0P+0
0X0P+0,-0X1.9999999999998P-3,0X1.921FB54442D18P+1,0X0P+0
0X1.99999999999AP-3,-0X1.9999999999998P-3,0X1.2D97C7F3321DP+1,0X1.CP+4
0X1.999999999999CP-2,-0X1.9999999999998P-3,0X1.0468A8ACE4DF5P+1,0X1.6P+3
0X1.3333333333334P-1,-0X1.9999999999998P-3,0X1.E47DF3D0DD4DP+0,0X1.4P+3
0X1.999999999999AP-1,-0X1.9999999999998P-3,0X1.D0D6A1369BD33P+0,0X1.2P+3
0X1P+0,-0X1.9999999999998P-3,0X1.C4A83936311D9P+0,0X1.2P+3
-0X1P+0,0X0P+0,-0X1.921FB54442D19P+0,0X1P+0
-0X1.999999999999AP-1,0X0P+0,-0X1.921FB54442D19P+0,0X0P+0
-0X1.3333333333333P-1,0X0P+0,-0X1.921FB54442D19P+0,0X1P+0
-0X1.9999999999998P-2,0X0P+0,-0X1.921FB54442D19P+0,0X0P+0
-0X1.9999999999998P-3,0X0P+0,-0X1.921FB54442D19P+0,0X0P+0
0X0P+0,0X0P+0,0X0P+0,0X1P+0
0X1.99999999999AP-3,0X0P+0,0X1.921FB54442D18P+0,0X0P+0
0X1.999999999999CP-2,0X0P+0,0X1.921FB54442D18P+0,0X1P+0
0X1.3333333333334P-1,0X0P+0,0X1.921FB54442D18P+0,0X0P+0
0X1.999999999999AP-1,0X0P+0,0X1.921FB54442D18P+0,0X1P+0
0X1P+0,0X0P+0,0X1.921FB54442D18P+0,0X1P+0
-0X1P+0,0X1.99999999999AP-3,-0X1.5F97315254857P+0,0X1.6P+3
-0X1.999999999999AP-1,0X1.99999999999AP-3,-0X1.5368C951E9CFCP+0,0X1.4P+2
-0X1.3333333333333P-1,0X1.99999999999AP-3,-0X1.3FC176B7A855FP+0,0X1.4P+3
-0X1.9999999999998P-2,0X1.99999999999AP-3,-0X1.1B6E192EBBE43P+0,0X1.CP+2
-0X1.9999999999998P-3,0X1.99999999999AP-3,-0X1.921FB54442D14P-1,0X1.AP+3
0X0P+0,0X1.99999999999AP-3,0X0P+0,0X0P+0
0X1.99999999999AP-3,0X1.99999999999AP-3,0X1.921FB54442D18P-1,0X1P+0
0X1.999999999999CP-2,0X1.99999999999AP-3,0X1.1B6E192EBBE43P+0,0X1.CP+2
0X1.3333333333334P-1,0X1.99999999999AP-3,0X1.3FC176B7A855EP+0,0X1.2P+3
0X1.999999999999AP-1,0X1.99999999999AP-3,0X1.5368C951E9CFBP+0,0X1.4P+2
0X1P+0,0X1.99999999999AP-3,0X1.5F97315254856P+0,0X1P+3
-0X1P+0,0X1.999999999999CP-2,-0X1.30B6D796A4DA8P+0,0X1.4P+3
-0X1.999999999999AP-1,0X1.999999999999CP-2,-0X1.1B6E192EBBE44P+0,0X1.CP+2
-0X1.3333333333333P-1,0X1.999999999999CP-2,-0X1.F730BD281F69AP-1,0X1P+3
-0X1.9999999999998P-2,0X1.999999999999CP-2,-0X1.921FB54442D16P-1,0X1.BP+4
-0X1.9999999999998P-3,0X1.999999999999CP-2,-0X1.DAC670561BB4CP-2,0X1.6P+3
0X0P+0,0X1.999999999999CP-2,0X0P+0,0X0P+0
0X1.99999999999AP-3,0X1.999999999999CP-2,0X1.DAC670561BB53P-2,0X1.CP+2
0X1.999999999999CP-2,0X1.999999999999CP-2,0X1.921FB54442D18P-1,0X1P+0
0X1.3333333333334P-1,0X1.999999999999CP-2,0X1.F730BD281F69AP-1,0X1P+3
0X1.999999999999AP-1,0X1.999999999999CP-2,0X1.1B6E192EBBE43P+0,0X1.8P+2
0X1P+0,0X1.999999999999CP-2,0X1.30B6D796A4DA7P+0,0X1.4P+3
-0X1P+0,0X1.3333333333334P-1,-0X1.07C6C6947A6A8P+0,0X1.6P+3
