x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,intel-mkl,mathematica,
8.700000e+01,3783062924118,3783062924118,3783062924118,26481440468828,3783062924117,3783062924117,3783062924118,3783062924118,
8.800000e+01,3761382944888,3761382944888,3761382944888,26329680614217,3761382944887,3761382944887,3761382944888,3761382944888,
8.900000e+01,3740071478803,3740071478803,3740071478803,26180500351623,3740071478803,3740071478803,3740071478803,3740071478803,
9.000000e+01,3719118202792,3719118202792,3719118202792,26033827419541,3719118202791,3719118202791,3719118202792,3719118202792,
9.100000e+01,3698513194150,3698513194150,3698513194150,25889592359047,3698513194150,3698513194150,3698513194150,3698513194150,
9.200000e+01,3678246910797,3678246910797,3678246910797,25747728375582,3678246910797,3678246910797,3678246910797,3678246910797,
9.300000e+01,3658310172709,3658310172709,3658310172709,25608171208965,3658310172709,3658310172709,3658310172709,3658310172709,
9.400000e+01,3638694144441,3638694144441,3638694144441,25470859011085,3638694144440,3638694144440,3638694144441,3638694144441,
9.500000e+01,3619390318676,3619390318676,3619390318676,25335732230727,3619390318676,3619390318676,3619390318676,3619390318676,
9.600000e+01,3600390500721,3600390500721,3600390500721,25202733505052,3600390500721,3600390500721,3600390500721,3600390500721,
9.700000e+01,3581686793895,3581686793895,3581686793895,25071807557261,3581686793895,3581686793895,3581686793895,3581686793895,
9.800000e+01,3563271585728,3563271585728,3563271585728,24942901100081,3563271585727,3563271585727,3563271585728,3563271585728,
9.900000e+01,3545137534946,3545137534946,3545137534946,24815962744626,3545137534946,3545137534946,3545137534946,3545137534946,
1.000000e+02,3527277559187,3527277559187,3527277559187,24690942914310,3527277559187,3527277559187,3527277559187,3527277559187,
