x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.00000000000000000000,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
0.01000000000000000021,1,1,1,2,0,0,1,1,1,0,
0.02000000000000000042,1,1,1,14,0,0,1,1,1,1,
0.02999999999999999889,0,0,0,4,0,0,0,0,0,0,
0.04000000000000000083,1,1,1,2,0,0,1,1,1,1,
0.05000000000000000278,1,1,1,3,0,0,1,1,1,1,
0.05999999999999999778,1,1,1,15,0,0,1,1,1,1,
0.07000000000000000666,1,1,1,19,0,0,1,1,1,1,
0.08000000000000000167,0,0,0,13,0,0,0,0,0,0,
0.08999999999999999667,0,0,1,5,0,0,0,0,0,0,
0.10000000000000000555,1,1,1,13,0,0,1,1,1,1,
0.11000000000000000056,1,1,1,3,0,0,1,1,1,1,
0.11999999999999999556,1,1,1,3,0,0,1,1,1,1,
0.13000000000000000444,0,0,0,10,0,0,0,0,0,0,
0.14000000000000001332,0,0,0,12,0,0,0,0,0,0,
0.14999999999999999445,1,1,1,7,0,0,1,1,1,1,
0.16000000000000000333,0,0,0,1,0,0,0,0,0,0,
0.17000000000000001221,1,1,1,24,0,0,1,1,1,1,
0.17999999999999999334,1,1,0,31,0,0,1,1,1,0,
0.19000000000000000222,1,1,1,5,0,0,1,1,1,1,
0.20000000000000001110,1,1,1,2,0,0,1,1,1,1,
0.20999999999999999223,1,1,1,39,0,0,1,1,1,1,
0.22000000000000000111,0,0,0,25,0,0,0,0,0,0,
0.23000000000000000999,0,0,0,8,0,0,0,0,0,0,
0.23999999999999999112,0,0,0,26,0,0,0,0,0,0,
0.25000000000000000000,1,1,1,4,0,0,1,1,1,1,
0.26000000000000000888,1,1,1,43,0,0,1,1,1,1,
0.27000000000000001776,0,0,0,10,0,0,0,0,0,0,
0.28000000000000002665,1,1,1,34,0,0,1,1,1,1,
0.28999999999999998002,0,0,0,33,0,0,0,0,0,0,
0.29999999999999998890,0,0,0,28,0,0,0,0,0,0,
0.30999999999999999778,1,1,1,24,0,0,1,1,1,1,
0.32000000000000000666,0,0,0,22,0,0,0,0,0,0,
0.33000000000000001554,0,0,0,5,0,0,0,0,0,0,
0.34000000000000002442,1,1,1,0,0,0,1,1,1,0,
0.35000000000000003331,0,0,0,34,0,0,0,0,0,0,
0.35999999999999998668,0,0,0,7,0,0,0,0,0,0,
0.36999999999999999556,1,1,0,9,0,0,1,1,1,1,
0.38000000000000000444,0,0,0,5,0,0,0,0,0,0,
0.39000000000000001332,0,0,1,9,0,0,0,0,0,0,
0.40000000000000002220,1,1,1,1,0,0,1,1,1,1,
0.41000000000000003109,0,0,0,5,0,0,0,0,0,0,
0.41999999999999998446,1,1,0,2,0,0,1,1,1,1,
0.42999999999999999334,0,0,0,9,0,0,0,0,0,0,
0.44000000000000000222,0,0,0,2,0,0,0,0,0,0,
0.45000000000000001110,0,0,0,6,0,0,0,0,0,0,
0.46000000000000001998,1,1,1,4,0,0,1,1,1,1,
0.47000000000000002887,1,1,1,7,0,0,1,1,1,1,
0.47999999999999998224,1,1,1,5,0,0,1,1,1,1,
0.48999999999999999112,0,0,0,7,0,0,0,0,0,0,
