x,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
8.500000e-01,0,9211711380876354691,1,1,9211711380876354691,9211711380876354691,9211711380876354691,
8.600000e-01,0,9211303155203880745,0,0,9211303155203880745,9211303155203880745,9211303155203880745,
8.700000e-01,0,9210899649009084482,0,0,9210899649009084482,9210899649009084482,9210899649009084482,
8.800000e-01,0,9210500754414626846,1,1,9210500754414626846,9210500754414626846,9210500754414626846,
8.900000e-01,0,9209801340784546503,1,1,9209801340784546503,9209801340784546503,9209801340784546503,
9.000000e-01,0,9209008799644085612,0,0,9209008799644085612,9209008799644085612,9209008799644085612,
9.100000e-01,0,9208225016043500167,1,1,9208225016043500167,9208225016043500167,9208225016043500167,
9.200000e-01,0,9207449798555373789,1,1,9207449798555373789,9207449798555373789,9207449798555373789,
9.300000e-01,0,9206682961960992741,1,1,9206682961960992741,9206682961960992741,9206682961960992741,
9.400000e-01,0,9205879320079400392,0,0,9205879320079400392,9205879320079400392,9205879320079400392,
9.500000e-01,0,9204366191798900240,1,1,9204366191798900240,9204366191798900240,9204366191798900240,
9.600000e-01,0,9202868908084671403,1,1,9202868908084671403,9202868908084671403,9202868908084671403,
9.700000e-01,0,9201273175330941314,0,0,9201273175330941314,9201273175330941314,9201273175330941314,
9.800000e-01,0,9198328488222335073,1,1,9198328488222335073,9198328488222335073,9198328488222335073,
9.900000e-01,0,9193806909386650087,0,0,9193806909386650087,9193806909386650087,9193806909386650087,
1.000000e+00,0,4616870979110786326,0,0,4616870979110786326,4616870979110786326,4616870979110786326,
