0X0P+0,-INF
0X1.47AE147AE147AP+1017,0X1.6096B9B82CF45P+9
0X1.47AE147AE147AP+1018,0X1.60EF72C428DD3P+9
0X1.EB851EB851EB7P+1018,0X1.6123590C025C6P+9
0X1.47AE147AE147AP+1019,0X1.61482BD024C62P+9
0X1.9999999999998P+1019,0X1.6164BBC7EC60BP+9
0X1.EB851EB851EB7P+1019,0X1.617C1217FE455P+9
0X1.1EB851EB851EBP+1020,0X1.618FCD4D9E872P+9
0X1.47AE147AE147AP+1020,0X1.61A0E4DC20AFP+9
0X1.70A3D70A3D709P+1020,0X1.61AFF85FD7C48P+9
0X1.9999999999998P+1020,0X1.61BD74D3E849AP+9
0X1.C28F5C28F5C28P+1020,0X1.61C9A7F3A4E7CP+9
0X1.EB851EB851EB7P+1020,0X1.61D4CB23FA2E3P+9
0X1.0A3D70A3D70A3P+1021,0X1.61DF09FAE00D1P+9
0X1.1EB851EB851EBP+1021,0X1.61E886599A7P+9
0X1.3333333333332P+1021,0X1.61F15B1BC1C8DP+9
0X1.47AE147AE147AP+1021,0X1.61F99DE81C97EP+9
0X1.5C28F5C28F5C2P+1021,0X1.620160744C9C4P+9
0X1.70A3D70A3D709P+1021,0X1.6208B16BD3AD6P+9
0X1.851EB851EB851P+1021,0X1.620F9D188D3F8P+9
0X1.9999999999998P+1021,0X1.62162DDFE4328P+9
0X1.AE147AE147AEP+1021,0X1.621C6CA173EF3P+9
0X1.C28F5C28F5C28P+1021,0X1.622260FFA0D0AP+9
0X1.D70A3D70A3D6FP+1021,0X1.622811980A0F8P+9
0X1.EB851EB851EB7P+1021,0X1.622D842FF6172P+9
0X1.FFFFFFFFFFFFFP+1021,0X1.6232BDD7ABCD2P+9
0X1.0A3D70A3D70A3P+1022,0X1.6237C306DBF5FP+9
0X1.147AE147AE147P+1022,0X1.623C97B3AD2C9P+9
0X1.1EB851EB851EBP+1022,0X1.62413F659658FP+9
0X1.28F5C28F5C28FP+1022,0X1.6245BD44E9D43P+9
0X1.3333333333332P+1022,0X1.624A1427BDB1BP+9
0X1.3D70A3D70A3D6P+1022,0X1.624E469CB607P+9
0X1.47AE147AE147AP+1022,0X1.625256F41880DP+9
0X1.51EB851EB851EP+1022,0X1.625647477A4FDP+9
0X1.5C28F5C28F5C2P+1022,0X1.625A198048852P+9
0X1.6666666666665P+1022,0X1.625DCF5D5DF38P+9
0X1.70A3D70A3D709P+1022,0X1.62616A77CF965P+9
0X1.7AE147AE147ADP+1022,0X1.6264EC4710A0CP+9
0X1.851EB851EB851P+1022,0X1.6268562489286P+9
0X1.8F5C28F5C28F5P+1022,0X1.626BA94EB5752P+9
0X1.9999999999998P+1022,0X1.626EE6EBE01B7P+9
0X1.A3D70A3D70A3CP+1022,0X1.6272100C85DF1P+9
0X1.AE147AE147AEP+1022,0X1.627525AD6FD82P+9
0X1.B851EB851EB84P+1022,0X1.627828B98E431P+9
0X1.C28F5C28F5C28P+1022,0X1.627B1A0B9CB99P+9
0X1.CCCCCCCCCCCCCP+1022,0X1.627DFA6F9730EP+9
0X1.D70A3D70A3D6FP+1022,0X1.6280CAA405F87P+9
0X1.E147AE147AE13P+1022,0X1.62838B5B26035P+9
0X1.EB851EB851EB7P+1022,0X1.62863D3BF2P+9
0X1.F5C28F5C28F5BP+1022,0X1.6288E0E31019FP+9
0X1.FFFFFFFFFFFFFP+1022,0X1.628B76E3A7B6P+9
0X1.051EB851EB851P+1023,0X1.628DFFC822046P+9
0X1.0A3D70A3D70A3P+1023,0X1.62907C12D7DEEP+9
0X1.0F5C28F5C28F5P+1023,0X1.6292EC3EAF181P+9
0X1.147AE147AE147P+1023,0X1.629550BFA9158P+9
0X1.1999999999999P+1023,0X1.6297AA0364542P+9
0X1.1EB851EB851EBP+1023,0X1.6299F8719241DP+9
0X1.23D70A3D70A3DP+1023,0X1.629C3C6C62A79P+9
0X1.28F5C28F5C28FP+1023,0X1.629E7650E5BD1P+9
0X1.2E147AE147AEP+1023,0X1.62A0A67765D97P+9
0X1.3333333333332P+1023,0X1.62A2CD33B99AAP+9
0X1.3851EB851EB84P+1023,0X1.62A4EAD58F41DP+9
