0X1P+0,0X0P+0
0X1.336A479F4364P-1,0X1.DA819355AB019P-1
0X1.2CF2304755A5DP-1,0X1.E28C731EB6951P-1
0X1.266716A11BB56P-1,0X1.EA9752E7C228AP-1
0X1.1FC9647B000EAP-1,0X1.F2A232B0CDBC2P-1
0X1.191984D01E95BP-1,0X1.FAAD1279D94FBP-1
0X1.1257E3C182B5P-1,0X1.015BF9217271AP+0
0X1.0B84EE8F52E9CP-1,0X1.05616905F83B6P+0
0X1.04A11391EA2E3P-1,0X1.0966D8EA7E053P+0
0X1.FB598465BF622P-2,0X1.0D6C48CF03CEFP+0
0X1.ED50D5CBFA94EP-2,0X1.1171B8B38998CP+0
0X1.DF28FE444A41DP-2,0X1.157728980F628P+0
0X1.D0E2E2B44DE01P-2,0X1.197C987C952C4P+0
0X1.C27F69EB0ACC1P-2,0X1.1D8208611AF61P+0
0X1.B3FF7C925819BP-2,0X1.21877845A0BFDP+0
0X1.A56405202C65FP-2,0X1.258CE82A2689AP+0
0X1.96ADEFC7CE9C1P-2,0X1.2992580EAC536P+0
0X1.87DE2A6AEA963P-2,0X1.2D97C7F3321D2P+0
0X1.78F5A48A8A917P-2,0X1.319D37D7B7E6FP+0
0X1.69F54F37F664AP-2,0X1.35A2A7BC3DB0BP+0
0X1.5ADE1D05796DAP-2,0X1.39A817A0C37A8P+0
0X1.4BB101F7102FAP-2,0X1.3DAD878549444P+0
0X1.3C6EF372FE95P-2,0X1.41B2F769CF0EP+0
0X1.2D18E8324FD1CP-2,0X1.45B8674E54D7DP+0
0X1.1DAFD83140E0DP-2,0X1.49BDD732DAA19P+0
0X1.0E34BC9F96944P-2,0X1.4DC34717606B6P+0
0X1.FD511FA1C0794P-3,0X1.51C8B6FBE6352P+0
0X1.DE189A594FBC5P-3,0X1.55CE26E06BFEFP+0
0X1.BEC1E23D21F66P-3,0X1.59D396C4F1C8BP+0
0X1.9F4EF20CCDDA2P-3,0X1.5DD906A977927P+0
0X1.7FC1C65037A74P-3,0X1.61DE768DFD5C4P+0
0X1.601C5D377236AP-3,0X1.65E3E6728326P+0
0X1.4060B67A8536FP-3,0X1.69E9565708EFDP+0
0X1.2090D3391AAE6P-3,0X1.6DEEC63B8EB99P+0
0X1.00AEB5DA15BDFP-3,0X1.71F4362014835P+0
0X1.C178C3D6297DP-4,0X1.75F9A6049A4D2P+0
0X1.8177B7FFC17EDP-4,0X1.79FF15E92016EP+0
0X1.415E532398E3DP-4,0X1.7E0485CDA5E0BP+0
0X1.0130A1BE09373P-4,0X1.8209F5B22BAA7P+0
0X1.81E56327504ACP-5,0X1.860F6596B1743P+0
0X1.015122DF7584FP-5,0X1.8A14D57B373EP+0
0X1.0159438A60E66P-6,0X1.8E1A455FBD07CP+0
-0X1.72CECE675D1FDP-53,0X1.921FB54442D19P+0
