0X1.1257E3C182B4DP-1,0X1.21877845A0BF8P-1
0X1.ED50D5CBFA94FP-2,0X1.015BF92172718P-1
0X1.B3FF7C9258191P-2,0X1.C260F3FA88461P-2
0X1.78F5A48A8A914P-2,0X1.8209F5B22BAA1P-2
0X1.3C6EF372FE942P-2,0X1.41B2F769CF0D2P-2
0X1.FD511FA1C0787P-3,0X1.015BF92172712P-2
0X1.7FC1C65037A76P-3,0X1.8209F5B22BAA3P-3
0X1.00AEB5DA15BCAP-3,0X1.015BF92172704P-3
0X1.0130A1BE09368P-4,0X1.015BF92172708P-4
-0X1.B9676733AE8FFP-51,-0X1.B9676733AE9P-51
