0X0P+0,0X0P+0
0X1.0159438A60E6FP-6,0X1.015BF92172719P-6
0X1.015122DF7586P-5,0X1.015BF92172719P-5
0X1.81E56327504AAP-5,0X1.8209F5B22BAA6P-5
0X1.0130A1BE09379P-4,0X1.015BF92172719P-4
0X1.415E532398E48P-4,0X1.41B2F769CF0DFP-4
0X1.8177B7FFC17EFP-4,0X1.8209F5B22BAA6P-4
0X1.C178C3D6297D9P-4,0X1.C260F3FA8846DP-4
0X1.00AEB5DA15BDFP-3,0X1.015BF92172719P-3
0X1.2090D3391AAE8P-3,0X1.21877845A0BFCP-3
0X1.4060B67A85374P-3,0X1.41B2F769CF0DFP-3
0X1.601C5D377236CP-3,0X1.61DE768DFD5C3P-3
0X1.7FC1C65037A79P-3,0X1.8209F5B22BAA6P-3
0X1.9F4EF20CCDDA2P-3,0X1.A23574D659F89P-3
0X1.BEC1E23D21F6AP-3,0X1.C260F3FA8846DP-3
0X1.DE189A594FBCCP-3,0X1.E28C731EB695P-3
0X1.FD511FA1C0796P-3,0X1.015BF92172719P-2
0X1.0E34BC9F96947P-2,0X1.1171B8B38998BP-2
0X1.1DAFD83140E0DP-2,0X1.21877845A0BFCP-2
0X1.2D18E8324FD1EP-2,0X1.319D37D7B7E6EP-2
0X1.3C6EF372FE94FP-2,0X1.41B2F769CF0DFP-2
0X1.4BB101F7102FBP-2,0X1.51C8B6FBE6351P-2
0X1.5ADE1D05796DCP-2,0X1.61DE768DFD5C3P-2
0X1.69F54F37F664AP-2,0X1.71F4362014834P-2
0X1.78F5A48A8A919P-2,0X1.8209F5B22BAA6P-2
0X1.87DE2A6AEA963P-2,0X1.921FB54442D18P-2
0X1.96ADEFC7CE9C1P-2,0X1.A23574D659F88P-2
0X1.A56405202C662P-2,0X1.B24B3468711FBP-2
0X1.B3FF7C925819CP-2,0X1.C260F3FA8846DP-2
0X1.C27F69EB0ACC3P-2,0X1.D276B38C9F6DEP-2
0X1.D0E2E2B44DE01P-2,0X1.E28C731EB695P-2
0X1.DF28FE444A41EP-2,0X1.F2A232B0CDBC1P-2
0X1.ED50D5CBFA951P-2,0X1.015BF92172719P-1
0X1.FB598465BF623P-2,0X1.0966D8EA7E052P-1
0X1.04A11391EA2E4P-1,0X1.1171B8B38998BP-1
0X1.0B84EE8F52E9CP-1,0X1.197C987C952C3P-1
0X1.1257E3C182B5P-1,0X1.21877845A0BFCP-1
0X1.191984D01E95BP-1,0X1.2992580EAC535P-1
0X1.1FC9647B000EAP-1,0X1.319D37D7B7E6EP-1
0X1.266716A11BB57P-1,0X1.39A817A0C37A7P-1
0X1.2CF2304755A5DP-1,0X1.41B2F769CF0DFP-1
0X1.336A479F43641P-1,0X1.49BDD732DAA18P-1
0X1.39CEF40DDAC0BP-1,0X1.51C8B6FBE6351P-1
0X1.401FCE320D52AP-1,0X1.59D396C4F1C8AP-1
0X1.465C6FEB501BCP-1,0X1.61DE768DFD5C3P-1
0X1.4C8474600EEEEP-1,0X1.69E9565708EFCP-1
0X1.529778040B2ECP-1,0X1.71F4362014834P-1
0X1.5895189EA57FP-1,0X1.79FF15E92016DP-1
0X1.5E7CF55112013P-1,0X1.8209F5B22BAA5P-1
0X1.644EAE9C76BA5P-1,0X1.8A14D57B373DFP-1
0X1.6A09E667F3BCDP-1,0X1.921FB54442D18P-1
0X1.6FAE400694B66P-1,0X1.9A2A950D4E65P-1
0X1.753B603D2B815P-1,0X1.A23574D659F88P-1
0X1.7AB0ED48135A5P-1,0X1.AA40549F658C2P-1
0X1.800E8EE0DC5DBP-1,0X1.B24B3468711FAP-1
0X1.8553EE43DEF13P-1,0X1.BA5614317CB34P-1
0X1.8A80B635B6BEAP-1,0X1.C260F3FA8846DP-1
0X1.8F949308A4E84P-1,0X1.CA6BD3C393DA5P-1
0X1.948F32A1D91F1P-1,0X1.D276B38C9F6DDP-1
0X1.9970447EA1456P-1,0X1.DA819355AB016P-1
0X1.9E3779B97F4A8P-1,0X1.E28C731EB695P-1
0X1.A2E4850F24EC8P-1,0X1.EA9752E7C2288P-1
0X1.A7771AE355108P-1,0X1.F2A232B0CDBCP-1
0X1.ABEEF145AA616P-1,0X1.FAAD1279D94F9P-1
0X1.B04BBFF642E86P-1,0X1.015BF92172719P+0
0X1.B48D406A5054P-1,0X1.05616905F83B5P+0
0X1.B8B32DD08CA3CP-1,0X1.0966D8EA7E052P+0
0X1.BCBD451592EF7P-1,0X1.0D6C48CF03CEEP+0
0X1.C0AB44E81C059P-1,0X1.1171B8B38998BP+0
0X1.C47CEDBD1E9A6P-1,0X1.157728980F627P+0
0X1.C83201D3D2C6CP-1,0X1.197C987C952C3P+0
0X1.CBCA453998945P-1,0X1.1D8208611AF6P+0
0X1.CF457DCDC158BP-1,0X1.21877845A0BFCP+0
0X1.D2A373453BA31P-1,0X1.258CE82A26899P+0
0X1.D5E3EF2E217EDP-1,0X1.2992580EAC535P+0
0X1.D906BCF328D46P-1,0X1.2D97C7F3321D1P+0
0X1.DC0BA9DEF5AE4P-1,0X1.319D37D7B7E6DP+0
0X1.DEF2851F4E2E2P-1,0X1.35A2A7BC3DB0AP+0
0X1.E1BB1FC82FFD7P-1,0X1.39A817A0C37A7P+0
0X1.E4654CD6C707EP-1,0X1.3DAD878549443P+0
0X1.E6F0E134454FFP-1,0X1.41B2F769CF0DFP+0
0X1.E95DB3B89BAF5P-1,0X1.45B8674E54D7CP+0
0X1.EBAB9D2D13572P-1,0X1.49BDD732DAA18P+0
0X1.EDDA784EC7E66P-1,0X1.4DC34717606B5P+0
0X1.EFEA21D101EEP-1,0X1.51C8B6FBE6351P+0
0X1.F1DA785F71BCEP-1,0X1.55CE26E06BFEDP+0
0X1.F3AB5CA04A4F7P-1,0X1.59D396C4F1C89P+0
0X1.F55CB1363C414P-1,0X1.5DD906A977926P+0
0X1.F6EE5AC2509FEP-1,0X1.61DE768DFD5C1P+0
0X1.F8603FE5A382P-1,0X1.65E3E6728325EP+0
0X1.F9B24942FE45BP-1,0X1.69E9565708EFAP+0
0X1.FAE46180515DP-1,0X1.6DEEC63B8EB97P+0
0X1.FBF675480D902P-1,0X1.71F4362014832P+0
0X1.FCE8734A5CA02P-1,0X1.75F9A6049A4CDP+0
0X1.FDBA4C3E3935CP-1,0X1.79FF15E92016DP+0
0X1.FE6BF2E2660AFP-1,0X1.7E0485CDA5E09P+0
0X1.FEFD5BFE443FEP-1,0X1.8209F5B22BAA6P+0
0X1.FF6E7E6288CD2P-1,0X1.860F6596B173CP+0
0X1.FFBF52E9D1085P-1,0X1.8A14D57B373D5P+0
0X1.FFEFD47916312P-1,0X1.8E1A455FBD078P+0
0X1.FFFFFFFFFFFFFP-1,0X1.921FB50442D18P+0
