x,y,openlibm,matlab,mpfr64,mpfr128,intel-mkl,
4.000000e+00,3.000000e+00,0,0,0,0,0,
5.000000e+00,1.200000e+01,0,0,0,0,0,
1.500000e+01,8.000000e+00,0,0,0,0,0,
7.000000e+00,2.400000e+01,0,0,0,0,0,
2.000000e+01,2.100000e+01,0,0,0,0,0,
3.500000e+01,1.200000e+01,0,0,0,0,0,
9.000000e+00,4.000000e+01,0,0,0,0,0,
2.800000e+01,4.500000e+01,0,0,0,0,0,
9.500000e+01,1.680000e+02,0,0,0,0,0,
7.486176e+06,5.293057e+06,0,0,0,0,0,
