-0X1P+0,-0X1.921FB54442D19P+0,0X1.8P+2
0X1.EB851EB851EB8P-2,0X1.0055D080BB633P-1,0X1.1P+4
0X1P-1,0X1.0C152382D7365P-1,0X1.1P+4
0X1.0A3D70A3D70A4P-1,0X1.17FCD90A0D19EP-1,0X1.2P+4
0X1.147AE147AE148P-1,0X1.241055329849EP-1,0X1.2P+4
0X1.1EB851EB851ECP-1,0X1.305355E86C374P-1,0X1.1P+4
0X1.28F5C28F5C29P-1,0X1.3CCA01C711852P-1,0X1P+5
0X1.3333333333334P-1,0X1.4978FA3269EE2P-1,0X1.3P+4
0X1.3D70A3D70A3D8P-1,0X1.5665718F62B98P-1,0X1.7P+4
0X1.47AE147AE147CP-1,0X1.639546D3FD53CP-1,0X1.6P+4
0X1.51EB851EB852P-1,0X1.710F28188F80EP-1,0X1.5P+4
0X1.5C28F5C28F5C2P-1,0X1.7EDABE7A11FFCP-1,0X1.4P+4
0X1.6666666666666P-1,0X1.8D00E692AFD95P-1,0X1.3P+4
0X1.70A3D70A3D70AP-1,0X1.9B8BFA40885BCP-1,0X1.8P+4
0X1.7AE147AE147AEP-1,0X1.AA8832B0B0525P-1,0X1.4P+4
0X1.851EB851EB852P-1,0X1.BA042D36663DBP-1,0X1.8P+4
0X1.8F5C28F5C28F6P-1,0X1.CA11A353BD84CP-1,0X1.4P+4
0X1.999999999999AP-1,0X1.DAC670561BB5P-1,0X1.3P+4
0X1.A3D70A3D70A3EP-1,0X1.EC3E10A736332P-1,0X1.2P+4
0X1.AE147AE147AE2P-1,0X1.FE9BE811DF6CCP-1,0X1.1P+4
0X1.B851EB851EB86P-1,0X1.09076EE9D82BBP+0,0X1.2P+4
0X1.C28F5C28F5C2AP-1,0X1.136BB485F3D92P+0,0X1P+4
0X1.CCCCCCCCCCCCEP-1,0X1.1EA93705FA173P+0,0X1.5P+4
0X1.D70A3D70A3D7P-1,0X1.2B07529B17488P+0,0X1.3P+4
0X1.E147AE147AE14P-1,0X1.38FE4CB950B1P+0,0X1.3P+4
0X1.EB851EB851EB8P-1,0X1.4978FA3269EEP+0,0X1.1P+4
0X1.F5C28F5C28F5CP-1,0X1.5ED690583BE07P+0,0X1.1P+4
0X1P+0,0X1.921FB54442D18P+0,0X1P+0
