-0X1.41B2F769CF0EP-1,-0X1.73FD61D9DF543P-1,0X1.8P+1
-0X1.21877845A0BFCP-1,-0X1.44ECD210B9A7EP-1,0X1P+2
-0X1.015BF92172718P-1,-0X1.19797117FBCD6P-1,0X1P+2
-0X1.C260F3FA88468P-2,-0X1.E1DB9A59E3B3FP-2,0X1P+2
-0X1.8209F5B22BAAP-2,-0X1.956E26E56D2B9P-2,0X1.8P+1
-0X1.41B2F769CF0D8P-2,-0X1.4CB7BFB4961A6P-2,0X1.8P+1
-0X1.015BF92172718P-2,-0X1.06EB23AB470ABP-2,0X1.8P+1
-0X1.8209F5B22BAAP-3,-0X1.86AD48EF41B87P-3,0X1.8P+1
-0X1.015BF9217271P-3,-0X1.02B8FA2799AFP-3,0X1.8P+1
-0X1.015BF921727P-4,-0X1.01B2CF64B0BA3P-4,0X1P+2
0X1P-51,0X1P-51,0X1P+0
0X1.015BF9217272P-4,0X1.01B2CF64B0BC2P-4,0X1.8P+1
0X1.015BF9217272P-3,0X1.02B8FA2799AFFP-3,0X1.8P+2
0X1.8209F5B22BABP-3,0X1.86AD48EF41B97P-3,0X1.8P+1
0X1.015BF9217272P-2,0X1.06EB23AB470B3P-2,0X1.8P+1
0X1.41B2F769CF0E8P-2,0X1.4CB7BFB4961B7P-2,0X1.8P+1
0X1.8209F5B22BABP-2,0X1.956E26E56D2CAP-2,0X1.8P+1
0X1.C260F3FA8847P-2,0X1.E1DB9A59E3B47P-2,0X1.8P+1
0X1.015BF9217271CP-1,0X1.19797117FBCDAP-1,0X1P+2
0X1.21877845A0CP-1,0X1.44ECD210B9A82P-1,0X1P+2
0X1.41B2F769CF0E4P-1,0X1.73FD61D9DF548P-1,0X1P+2
0X1.61DE768DFD5C8P-1,0X1.A7903041B33BCP-1,0X1P+2
0X1.8209F5B22BAA8P-1,0X1.E0CCCCFEC59AP-1,0X1P+2
0X1.A23574D659F8CP-1,0X1.109CC06BF8E48P+0,0X1.8P+1
0X1.C260F3FA8847P-1,0X1.35736A5CAA0C1P+0,0X1.8P+1
0X1.E28C731EB695P-1,0X1.605A90C73AB78P+0,0X1.8P+1
0X1.015BF9217271CP+0,0X1.936436354EAE9P+0,0X1.8P+1
0X1.1171B8B38998CP+0,0X1.D1A98A9CB78EDP+0,0X1P+2
0X1.21877845A0CP+0,0X1.10038B6C1614BP+1,0X1P+2
0X1.319D37D7B7E7P+0,0X1.434A8548A68A3P+1,0X1P+2
0X1.41B2F769CF0EP+0,0X1.89F188BDCD7ADP+1,0X1.8P+1
0X1.51C8B6FBE6354P+0,0X1.F286EF1220711P+1,0X1.8P+2
0X1.61DE768DFD5C4P+0,0X1.4F7FEF902097EP+2,0X1.8P+1
0X1.71F4362014838P+0,0X1.FA9CB6E35D406P+2,0X1.8P+1
0X1.8209F5B22BAA8P+0,0X1.FCA01C8226A19P+3,0X1.8P+2
0X1.921FB54442D18P+0,0X1.D02967C31CDB4P+53,0X1.EP+3
