x,newlib,openlibm,matlab,mpfr64,mpfr128,intel-mkl,
0.000000e+00,1.000000e+00,0.000000e+00,3.147016e-317,1.000000e+00,1.000000e+00,1.797693e+308,
1.000000e-02,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,1.000000e+00,1.797693e+308,
2.000000e-02,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,1.000000e+00,1.797693e+308,
3.000000e-02,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
4.000000e-02,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+00,0.000000e+00,1.797693e+308,
5.000000e-02,0.000000e+00,1.000000e+00,3.147016e-317,0.000000e+00,1.000000e+00,1.797693e+308,
6.000000e-02,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
7.000000e-02,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
8.000000e-02,0.000000e+00,1.000000e+00,3.147016e-317,1.000000e+00,1.000000e+00,1.797693e+308,
9.000000e-02,0.000000e+00,1.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
1.000000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
1.100000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,1.000000e+00,1.797693e+308,
1.200000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,1.000000e+00,1.797693e+308,
1.300000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+00,0.000000e+00,1.797693e+308,
1.400000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
1.500000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,1.000000e+00,1.797693e+308,
1.600000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
1.700000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+00,0.000000e+00,1.797693e+308,
1.800000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
1.900000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,1.000000e+00,1.797693e+308,
