x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,intel-mkl,mathematica,
8.800000e-01,24072850847287,24072850847287,24072850847287,24072850847286,24072850847286,24072850847286,24072850847287,24072850847282,
8.900000e-01,23936457464346,23936457464346,23936457464346,23936457464345,23936457464346,23936457464346,23936457464346,23936457464336,
9.000000e-01,23802356497868,23802356497868,23802356497868,23802356497867,23802356497868,23802356497868,23802356497868,23802356497864,
9.100000e-01,23670484442562,23670484442562,23670484442562,23670484442561,23670484442562,23670484442562,23670484442562,23670484442554,
9.200000e-01,23540780229107,23540780229107,23540780229107,23540780229106,23540780229106,23540780229106,23540780229107,23540780229100,
9.300000e-01,23413185105343,23413185105343,23413185105343,23413185105343,23413185105342,23413185105342,23413185105343,23413185105335,
9.400000e-01,23287642524424,23287642524424,23287642524424,23287642524422,23287642524423,23287642524423,23287642524424,23287642524417,
9.500000e-01,23164098039528,23164098039528,23164098039528,23164098039526,23164098039527,23164098039527,23164098039528,23164098039518,
9.600000e-01,23042499204620,23042499204620,23042499204620,23042499204620,23042499204620,23042499204620,23042499204620,23042499204616,
9.700000e-01,22922795480926,22922795480926,22922795480926,22922795480926,22922795480925,22922795480925,22922795480926,22922795480924,
9.800000e-01,22804938148650,22804938148650,22804938148650,22804938148648,22804938148649,22804938148649,22804938148649,22804938148644,
9.900000e-01,22688880223661,22688880223661,22688880223661,22688880223659,22688880223660,22688880223660,22688880223661,22688880223655,
1.000000e+00,22574576378798,22574576378798,22574576378798,22574576378797,22574576378798,22574576378798,22574576378798,22574576378797,
