x,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.17999999999999993783,0,0,1,1,0,0,0,0,
0.19999999999999995559,0,0,1,1,0,0,0,997109379148941,
0.21999999999999997335,0,0,0,0,0,0,0,1108231072177878,
0.23999999999999999112,0,0,1,1,0,0,0,113366500134164,
0.26000000000000000888,0,0,0,0,0,0,0,115656655351017,
0.28000000000000002665,0,1,0,0,0,0,0,117993074772120,
0.30000000000000004441,0,0,1,1,0,0,0,120376692996395,
0.32000000000000006217,0,0,1,1,0,0,0,122808463502911,
0.34000000000000007994,0,0,1,1,0,0,0,125289359032297,
0.36000000000000009770,0,0,0,0,0,0,0,127820371975842,
0.38000000000000011546,0,0,0,0,0,0,0,130402514772473,
0.40000000000000013323,0,0,1,1,0,0,0,133036820313736,
0.41999999999999992895,0,0,0,0,0,0,0,135724342356970,
0.43999999999999994671,0,0,1,1,0,0,0,138466155946833,
0.45999999999999996447,0,1,1,1,0,0,0,141263357845313,
0.47999999999999998224,0,0,1,1,0,0,0,144117066970467,
0.50000000000000000000,0,0,1,1,0,0,0,147028424843996,
0.52000000000000001776,0,0,1,1,0,0,0,149998596047868,
0.54000000000000003553,0,0,1,1,0,0,0,153028768690167,
0.56000000000000005329,0,0,1,1,0,0,0,156120154880353,
0.58000000000000007105,0,0,0,0,0,0,0,159273991214120,
0.60000000000000008882,0,0,0,0,0,0,0,162491539268056,
0.62000000000000010658,0,0,1,1,0,0,0,165774086104281,
0.64000000000000012434,0,0,1,1,0,0,0,169122944785298,
0.66000000000000014211,0,0,0,0,0,0,0,172539454899231,
0.67999999999999993783,0,0,1,1,0,0,0,176024983095681,
0.69999999999999995559,0,0,1,1,0,0,0,148612579512716,
0.71999999999999997335,0,0,0,0,0,0,0,91604349466509,
0.73999999999999999112,0,0,0,0,0,0,0,93454880078012,
0.76000000000000000888,0,0,0,0,0,0,0,95342793887628,
0.78000000000000002665,0,0,0,0,0,0,0,97268846086053,
0.80000000000000004441,0,0,1,1,0,0,0,99233807119848,
0.82000000000000006217,0,0,1,1,0,0,0,101238462999625,
0.84000000000000007994,0,0,1,1,0,0,0,103283615614467,
0.86000000000000009770,0,0,0,0,0,0,0,105370083052687,
0.88000000000000011546,0,0,1,1,0,0,0,107498699929082,
0.90000000000000013323,0,0,0,0,0,0,0,109670317718783,
0.91999999999999992895,0,0,1,1,0,0,0,111885805097862,
0.93999999999999994671,0,0,0,0,0,0,0,114146048290812,
0.95999999999999996447,0,0,1,1,0,0,0,116451951425046,
0.97999999999999998224,0,1,0,0,0,0,0,118804436892562,
1.00000000000000000000,0,1,0,0,0,0,0,121204445718916,
