log(exp(x))=x,0.,None,0.,0.
log(exp(x))=x,2.,None,2.,2.
log(exp(x))=x,-2.,None,-2.,-2.
log(exp(x))=x,2.7182818284590455,None,2.7182818284590455,2.7182818284590455
log(exp(x))=x,-1.e-22,None,-1.e-22,-1.e-22
log(exp(x))=x,1.e22,None,Overflow[],1.e22
log(exp(x))=x,2.2250738585072014e-308,None,2.2250738585072014e-308,2.2250738585072014e-308
log(exp(x))=x,-2.2250738585072014e-308,None,-2.2250738585072014e-308,-2.2250738585072014e-308
log(exp(x))=x,1.7976931348623157e308,None,Overflow[],1.7976931348623157e308
log(exp(x))=x,-1.7976931348623157e308,None,Indeterminate,-1.7976931348623157e308
