-0X1.51C8B6FBE6351P-2,-0X1.4BB101F7102FBP-2
-0X1.41B2F769CF0DFP-2,-0X1.3C6EF372FE94EP-2
-0X1.319D37D7B7E6EP-2,-0X1.2D18E8324FD1EP-2
-0X1.21877845A0BFCP-2,-0X1.1DAFD83140E0DP-2
-0X1.1171B8B38998AP-2,-0X1.0E34BC9F96945P-2
-0X1.015BF92172718P-2,-0X1.FD511FA1C0792P-3
-0X1.E28C731EB695P-3,-0X1.DE189A594FBCBP-3
-0X1.C260F3FA8846CP-3,-0X1.BEC1E23D21F68P-3
-0X1.A23574D659F88P-3,-0X1.9F4EF20CCDDA1P-3
-0X1.8209F5B22BAA4P-3,-0X1.7FC1C65037A76P-3
-0X1.61DE768DFD5CP-3,-0X1.601C5D3772368P-3
-0X1.41B2F769CF0EP-3,-0X1.4060B67A85375P-3
-0X1.21877845A0BFCP-3,-0X1.2090D3391AAE8P-3
-0X1.015BF92172718P-3,-0X1.00AEB5DA15BDEP-3
-0X1.C260F3FA88468P-4,-0X1.C178C3D6297D4P-4
-0X1.8209F5B22BAAP-4,-0X1.8177B7FFC17E9P-4
-0X1.41B2F769CF0D8P-4,-0X1.415E532398E41P-4
-0X1.015BF92172718P-4,-0X1.0130A1BE09377P-4
-0X1.8209F5B22BAAP-5,-0X1.81E56327504A4P-5
-0X1.015BF9217271P-5,-0X1.015122DF75857P-5
-0X1.015BF921727P-6,-0X1.0159438A60E55P-6
0X1P-53,0X1P-53
0X1.015BF9217272P-6,0X1.0159438A60E75P-6
0X1.015BF9217272P-5,0X1.015122DF75866P-5
0X1.8209F5B22BABP-5,0X1.81E56327504B4P-5
0X1.015BF9217272P-4,0X1.0130A1BE0937FP-4
0X1.41B2F769CF0E8P-4,0X1.415E532398E51P-4
0X1.8209F5B22BABP-4,0X1.8177B7FFC17F9P-4
0X1.C260F3FA8847P-4,0X1.C178C3D6297DCP-4
0X1.015BF9217271CP-3,0X1.00AEB5DA15BE2P-3
0X1.21877845A0CP-3,0X1.2090D3391AAECP-3
0X1.41B2F769CF0E4P-3,0X1.4060B67A85379P-3
0X1.61DE768DFD5C8P-3,0X1.601C5D377237P-3
0X1.8209F5B22BAA8P-3,0X1.7FC1C65037A7AP-3
0X1.A23574D659F8CP-3,0X1.9F4EF20CCDDA5P-3
0X1.C260F3FA8847P-3,0X1.BEC1E23D21F6CP-3
0X1.E28C731EB695P-3,0X1.DE189A594FBCBP-3
0X1.015BF9217271CP-2,0X1.FD511FA1C079AP-3
0X1.1171B8B38998CP-2,0X1.0E34BC9F96947P-2
0X1.21877845A0CP-2,0X1.1DAFD83140E1P-2
0X1.319D37D7B7E7P-2,0X1.2D18E8324FD2P-2
0X1.41B2F769CF0EP-2,0X1.3C6EF372FE94FP-2
0X1.51C8B6FBE6354P-2,0X1.4BB101F7102FDP-2
