-0X1P+0,0X0P+0,0X1P+0
-0X1.F5C28F5C28F5CP-1,0X1.805180009201AP+0,0X1.CP+2
-0X1.EB851EB851EB8P-1,0X1.8815229A89622P+0,0X0P+0
-0X1.E147AE147AE14P-1,0X1.9000B00016A6DP+0,0X1P+0
-0X1.D70A3D70A3D71P-1,0X1.9815501F2A425P+0,0X1P+0
-0X1.CCCCCCCCCCCCDP-1,0X1.A053C00086E1EP+0,0X0P+0
-0X1.C28F5C28F5C29P-1,0X1.A8BCD00072BCDP+0,0X0P+0
-0X1.B851EB851EB85P-1,0X1.1EB851EB851ECP-3,0X0P+0
-0X1.AE147AE147AE1P-1,0X1.47AE147AE147CP-3,0X0P+0
-0X1.A3D70A3D70A3EP-1,0X1.70A3D70A3D708P-3,0X0P+0
-0X1.999999999999AP-1,0X1.9999999999998P-3,0X0P+0
-0X1.8F5C28F5C28F6P-1,0X1.C28F5C28F5C28P-3,0X1P+0
-0X1.851EB851EB852P-1,0X1.EB851EB851EB8P-3,0X1P+0
-0X1.7AE147AE147AEP-1,0X1.E890800084743P-1,0X1P+0
-0X1.70A3D70A3D70AP-1,0X1.F26F200068C13P-1,0X0P+0
-0X1.6666666666666P-1,0X1.FC80E000D5542P-1,0X0P+0
-0X1.5C28F5C28F5C2P-1,0X1.036340009DBDEP+0,0X0P+0
-0X1.51EB851EB851EP-1,0X1.08A0B00012551P+0,0X1P+0
-0X1.47AE147AE147BP-1,0X1.0DF945C8630CEP+0,0X1P+0
-0X1.3D70A3D70A3D7P-1,0X1.851EB000EB852P-2,0X1P+0
-0X1.3333333333333P-1,0X1.999999999999AP-2,0X0P+0
-0X1.28F5C28F5C29P-1,0X1.AE147AE147AEP-2,0X0P+0
-0X1.1EB851EB851ECP-1,0X1.C28F5C28F5C28P-2,0X0P+0
-0X1.147AE147AE148P-1,0X1.D70A3D70A3D7P-2,0X1P+0
-0X1.0A3D70A3D70A4P-1,0X1.EB851EB851EB8P-2,0X1P+0
-0X1P-1,0X1P-1,0X1P+0
-0X1.EB851EB851EB8P-2,0X1.3CD120003B0C7P+0,0X1P+0
-0X1.D70A3D70A3D7P-2,0X1.43378000E76P+0,0X0P+0
-0X1.C28F5C28F5C28P-2,0X1.49BF244AF84EFP+0,0X1P+0
-0X1.AE147AE147AE2P-2,0X1.28F5C28F5C28FP-1,0X1P+0
-0X1.999999999999AP-2,0X1.3333333333333P-1,0X1P+0
-0X1.851EB851EB852P-2,0X1.3D70A3D70A3D7P-1,0X1P+0
-0X1.70A3D70A3D70AP-2,0X1.6535D4D65647P+0,0X0P+0
-0X1.5C28F5C28F5C2P-2,0X1.6C6D20000EBB6P+0,0X0P+0
-0X1.47AE147AE147AP-2,0X1.73C9C00081BCEP+0,0X0P+0
-0X1.3333333333332P-2,0X1.6666666666667P-1,0X0P+0
