(a*b)^n = (a)^n * (b)^n,0.,5.,10.,0.,0.
(a*b)^n = (a)^n * (b)^n,2.,-2.,-4.,0.0625`15.+3.67341984631965`15.*^-40*I,0.0625`15.+3.67341984631965`15.*^-40*I
(a*b)^n = (a)^n * (b)^n,2.,0.,0.,Indeterminate,Indeterminate
(a*b)^n = (a)^n * (b)^n,-2.,5.,10.,-100000.`15.+1.46936793852786`15.*^-33*I,-100000.`15.+1.46936793852786`15.*^-33*I
(a*b)^n = (a)^n * (b)^n,-2.,1.e22,2.e22,Overflow[],Overflow[]
(a*b)^n = (a)^n * (b)^n,8.,8.,16.,2.81474976710656e14,2.81474976710656e14
(a*b)^n = (a)^n * (b)^n,-1.e-22,-1.e-23,-2.e-23,1.,1.`15.-6.28318530717959`15.*^-23*I
(a*b)^n = (a)^n * (b)^n,1.e22,3.,6.,2.7e67,2.7e67
(a*b)^n = (a)^n * (b)^n,2.2250738585072e-308,3.,6.,2.97438415165702e-922,2.97438415165702e-922
(a*b)^n = (a)^n * (b)^n,1.79769313486232e308,3.,6.,1.56859361874989e926,1.56859361874989e926
